table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n)
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,91,45,46,9,7,12,17,10,11,32,23,22,22,24
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,88*,44*,44*,10**,7**,10**,17**,12**,11**,28**,24**,21**,17**,25**
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,BBC - TV,22,10,12,-,-,1,3,5,6,7,3,6,6,7
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,Facebook,21,13,8,2,1,8,3,3,2,5,5,4,6,6
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,ITV,11,4,7,-,-,1,-,4,3,3,3,4,3,2
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,“Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),10,4,6,-,-,-,1,3,2,3,1,5,2,2
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,Twitter,8,4,4,1,1,*,4,-,1,3,1,4,2,2
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,Websites or apps that bring together news from different news providers,8,6,2,*,*,-,1,-,5,2,2,2,3,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,BBC - Online/ app,6,5,1,2,2,1,1,-,2,-,2,-,3,1
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,YouTube,5,4,1,1,1,1,3,-,-,1,2,2,1,1
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,Instagram,4,2,2,2,2,2,-,-,-,-,-,2,-,3
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,Channel 4,4,1,2,1,1,2,1,1,-,-,1,-,1,2
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,WhatsApp group(s),3,2,1,-,-,*,2,1,-,-,-,2,1,*
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,BBC - Radio,3,3,-,-,-,-,2,-,1,-,-,2,1,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,88*,44*,44*,10**,7**,10**,17**,12**,11**,28**,24**,21**,17**,25**
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,Sky,2,1,1,-,-,1,-,-,-,1,-,-,2,1
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,“Broadsheets” such as The Times or Guardian ( online ),2,2,*,-,-,-,2,*,-,-,-,2,-,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,Unspecified social media,2,2,1,1,1,1,-,-,-,-,1,1,1,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,Search engine (e.g. Google),2,1,1,-,-,-,-,-,-,2,-,-,2,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,Family and friends directly,2,1,1,1,-,-,1,-,-,-,1,-,-,1
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,“Mid-market tabloids” such as MailOnline or Express ( online ),2,1,1,-,-,1,-,-,1,-,-,1,1,-
Table 94,Q10g. Source of claims about about injecting disinfectant as true,ONLINE Fieldwork: 29th to 31st May 2020,“Red-top tabloids” such as The Sun or Mirror ( online ),2,-,2,-,-,-,-,-,2,-,2,-,-,-
