table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A)
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,Unweighted base,235,109,126,23,20,37,41,34,42,58,82,62,28,63,25,16,24,16,11,22,13,19,30,31,21,7,190
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,Weighted base,241,114*,127,26**,22**,38*,41*,37**,41*,58*,77*,62*,38**,63*,22**,17**,27**,15**,12**,19**,14**,21**,32**,36**,18**,7**,197
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,Facebook,93,38,54,7,7,21,10,23,14,18,30,21,14,27,5,13,14,9,3,7,1,5,13,12,10,2,85
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,Family and friends directly,34,16,18,2,2,11,6,3,3,8,8,13,4,10,2,1,3,3,1,1,5,4,6,4,1,2,25
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,Twitter,32,21,11,9,9,3,7,6,2,4,12,10,3,6,2,1,3,*,1,3,3,2,5,6,3,1,25
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,BBC - TV,28,19,9,4,4,4,1,2,6,11,10,2,8,8,5,2,2,3,3,1,2,4,2,2,2,1,20
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,Search engine (e.g. Google),20,13,7,1,-,6,1,2,6,4,3,5,4,7,1,-,1,3,-,3,2,1,1,3,3,2,15
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,Unspecified social media,18,10,8,2,2,2,3,4,5,3,6,4,4,4,1,1,1,1,-,4,2,2,2,2,2,-,15
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,YouTube,14,7,7,3,3,-,4,1,5,1,5,6,1,1,1,1,1,1,1,-,-,1,4,2,1,-,13
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,People in your local area/neighbourhood,14,7,6,3,3,1,5,1,-,4,3,3,2,5,3,-,-,3,*,-,-,-,-,3,2,2,8
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,ITV,12,7,5,-,-,2,1,*,3,6,3,1,5,2,-,1,1,3,1,-,2,4,-,-,*,-,10
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,Commercial Radio,11,8,3,2,2,-,-,-,2,7,6,1,4,-,1,-,1,2,2,-,-,2,1,1,-,-,9
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,Instagram,11,4,7,9,9,-,-,-,1,-,3,3,-,5,-,-,1,-,-,-,-,1,5,2,1,-,11
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,Weighted base,241,114*,127,26**,22**,38*,41*,37**,41*,58*,77*,62*,38**,63*,22**,17**,27**,15**,12**,19**,14**,21**,32**,36**,18**,7**,197
Table 106,Q10i. Source of claims about about face masks/coverings offering no protection or being harmful  as true,ONLINE Fieldwork: 9th to 11th October 2020,BBC - Radio,10,8,2,-,-,1,-,1,2,7,3,2,3,2,1,-,-,3,-,1,1,3,-,-,2,-,8
