table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A)
Table 113,Q10p. How claims about empty hospitals on social media posts prove that Coronavirus has been exaggerated have been reported,ONLINE Fieldwork: 15th to 17th January 2021,Unweighted base,608,274,334,71,66,97,79,116,100,145,190,195,89,134,38,24,59,39,66,43,35,53,85,94,55,17,518
Table 113,Q10p. How claims about empty hospitals on social media posts prove that Coronavirus has been exaggerated have been reported,ONLINE Fieldwork: 15th to 17th January 2021,Weighted base,614,283,331,77*,72*,111*,79*,115*,90*,142,195,180,109*,131,34*,20**,61*,41*,72*,44*,32**,58*,75*,99*,58*,19**,528
Table 113,Q10p. How claims about empty hospitals on social media posts prove that Coronavirus has been exaggerated have been reported,ONLINE Fieldwork: 15th to 17th January 2021,Reported / described as a true claim,200,98,102,30,28,34,29,29,31,47,64,62,32,42,15,9,14,12,21,15,14,11,22,42,16,9,162
Table 113,Q10p. How claims about empty hospitals on social media posts prove that Coronavirus has been exaggerated have been reported,ONLINE Fieldwork: 15th to 17th January 2021,Reported / described as a false claim,294,142,152,33,31,43,41,49,46,82,93,93,51,57,12,10,33,19,31,19,10,35,40,43,34,8,264
Table 113,Q10p. How claims about empty hospitals on social media posts prove that Coronavirus has been exaggerated have been reported,ONLINE Fieldwork: 15th to 17th January 2021,Unclear whether true or false,201,85,116,27,25,53,23,49,22,27,65,54,38,44,11,5,25,17,25,18,11,17,23,28,15,5,174
Table 114,Q10p. How claims about empty hospitals on social media posts prove that Coronavirus has been exaggerated have been reported,ONLINE Fieldwork: 12th to 14th February 2021,Unweighted base,350,159,191,37,36,49,55,60,64,85,97,113,55,85,27,18,31,33,23,21,14,35,52,55,28,13,296
Table 114,Q10p. How claims about empty hospitals on social media posts prove that Coronavirus has been exaggerated have been reported,ONLINE Fieldwork: 12th to 14th February 2021,Weighted base,350,154,196,45*,44**,60*,56*,53*,58*,78*,93*,101*,75*,81*,25**,14**,42**,37**,24**,21**,11**,32**,48*,51*,30**,14**,300
Table 114,Q10p. How claims about empty hospitals on social media posts prove that Coronavirus has been exaggerated have been reported,ONLINE Fieldwork: 12th to 14th February 2021,Reported / described as a true claim,123,47,76,13,12,13,19,20,24,34,31,34,22,36,13,6,9,16,5,10,3,14,16,17,8,6,100
Table 114,Q10p. How claims about empty hospitals on social media posts prove that Coronavirus has been exaggerated have been reported,ONLINE Fieldwork: 12th to 14th February 2021,Reported / described as a false claim,146,73,73,25,25,23,28,17,17,36,47,50,13,35,5,6,18,17,9,4,6,15,19,26,15,6,129
Table 114,Q10p. How claims about empty hospitals on social media posts prove that Coronavirus has been exaggerated have been reported,ONLINE Fieldwork: 12th to 14th February 2021,Unclear whether true or false,126,53,74,11,11,34,19,22,22,19,24,31,45,27,7,2,20,12,12,7,4,12,19,15,13,3,111
