table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A)
Table 120,Q10s. Source of claims that the Coronavirus vaccine is a cover for a plan to implant trackable microchips in people reported as true,ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,124,68,56,21,20,38,17,13,17,18,35,30,24,35,15,2,13,12,9,7,5,11,15,18,9,8,96
Table 120,Q10s. Source of claims that the Coronavirus vaccine is a cover for a plan to implant trackable microchips in people reported as true,ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,123,63*,59*,23**,21**,36*,18**,14**,14**,17**,35**,29**,26**,32**,15**,1**,12**,15**,9**,7**,3**,11**,15**,19**,10**,6**,99*
Table 120,Q10s. Source of claims that the Coronavirus vaccine is a cover for a plan to implant trackable microchips in people reported as true,ONLINE Fieldwork: 5th to 11th April 2021,Facebook,54,30,24,9,9,20,11,5,5,4,19,12,14,10,9,1,3,8,6,-,1,8,8,3,7,3,42
Table 120,Q10s. Source of claims that the Coronavirus vaccine is a cover for a plan to implant trackable microchips in people reported as true,ONLINE Fieldwork: 5th to 11th April 2021,Family and friends directly,19,9,10,5,3,5,6,-,2,2,4,7,2,5,4,-,3,2,-,-,-,1,-,7,2,1,14
Table 120,Q10s. Source of claims that the Coronavirus vaccine is a cover for a plan to implant trackable microchips in people reported as true,ONLINE Fieldwork: 5th to 11th April 2021,Twitter,17,14,3,2,2,3,6,3,2,1,2,6,5,3,3,-,-,4,1,2,-,2,5,-,-,-,14
Table 120,Q10s. Source of claims that the Coronavirus vaccine is a cover for a plan to implant trackable microchips in people reported as true,ONLINE Fieldwork: 5th to 11th April 2021,Instagram,14,8,7,4,4,3,4,3,-,-,5,3,4,3,2,-,2,2,1,-,*,1,2,3,1,-,12
Table 120,Q10s. Source of claims that the Coronavirus vaccine is a cover for a plan to implant trackable microchips in people reported as true,ONLINE Fieldwork: 5th to 11th April 2021,YouTube,13,9,4,2,2,5,3,2,1,-,4,3,3,2,3,1,1,3,1,-,-,1,1,1,1,1,9
Table 120,Q10s. Source of claims that the Coronavirus vaccine is a cover for a plan to implant trackable microchips in people reported as true,ONLINE Fieldwork: 5th to 11th April 2021,People in your local area/neighbourhood,13,10,3,4,2,2,1,2,1,2,5,3,-,4,*,-,2,2,-,1,-,1,3,4,-,-,12
Table 120,Q10s. Source of claims that the Coronavirus vaccine is a cover for a plan to implant trackable microchips in people reported as true,ONLINE Fieldwork: 5th to 11th April 2021,Websites or apps that bring together news from different news providers,11,8,3,1,1,5,2,3,-,-,3,1,5,2,3,-,1,4,-,-,-,-,1,1,2,-,8
Table 120,Q10s. Source of claims that the Coronavirus vaccine is a cover for a plan to implant trackable microchips in people reported as true,ONLINE Fieldwork: 5th to 11th April 2021,Search engine (e.g. Google),11,9,2,4,4,2,2,2,1,-,3,3,2,2,3,1,-,-,2,-,-,1,3,-,1,1,8
