table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 119,Q12. To what extent do you agree or disagree with the following statements? I feel confident that I understand the statistics and data used to provide the number of Coronavirus cases,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,1007,1091,261,230,362,326,369,329,451,580,582,460,476,190,87,212,173,181,164,113,190,269,272,182,65,1730,,,
Table 119,Q12. To what extent do you agree or disagree with the following statements? I feel confident that I understand the statistics and data used to provide the number of Coronavirus cases,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,
Table 119,Q12. To what extent do you agree or disagree with the following statements? I feel confident that I understand the statistics and data used to provide the number of Coronavirus cases,ONLINE Fieldwork: 11th to 13th September 2020,NET: Agree,1162,622,540,160,137,188,174,190,181,268,355,338,203,267,116,44,136,91,102,88,58,103,146,155,92,31,957,,,
Table 119,Q12. To what extent do you agree or disagree with the following statements? I feel confident that I understand the statistics and data used to provide the number of Coronavirus cases,ONLINE Fieldwork: 11th to 13th September 2020,Strongly agree      (+2),331,190,141,44,38,43,53,59,53,79,117,84,57,73,30,14,39,26,41,22,11,27,32,52,26,9,280,,,
Table 119,Q12. To what extent do you agree or disagree with the following statements? I feel confident that I understand the statistics and data used to provide the number of Coronavirus cases,ONLINE Fieldwork: 11th to 13th September 2020,Slightly agree      (+1),831,432,399,116,99,145,122,130,128,189,237,254,145,194,85,30,96,65,61,65,47,76,114,103,66,22,677,,,
Table 119,Q12. To what extent do you agree or disagree with the following statements? I feel confident that I understand the statistics and data used to provide the number of Coronavirus cases,ONLINE Fieldwork: 11th to 13th September 2020,Neither agree nor    (0) disagree,515,227,289,68,58,96,93,97,64,98,122,143,115,135,33,26,53,49,43,33,21,49,79,69,47,16,446,,,
Table 119,Q12. To what extent do you agree or disagree with the following statements? I feel confident that I understand the statistics and data used to provide the number of Coronavirus cases,ONLINE Fieldwork: 11th to 13th September 2020,Slightly disagree   (-1),315,130,186,51,44,45,42,58,40,80,70,86,81,78,17,10,34,22,30,19,13,34,42,51,29,15,270,,,
Table 119,Q12. To what extent do you agree or disagree with the following statements? I feel confident that I understand the statistics and data used to provide the number of Coronavirus cases,ONLINE Fieldwork: 11th to 13th September 2020,Strongly disagree   (-2),106,47,58,10,10,21,16,15,18,26,24,25,27,30,9,4,10,10,8,11,8,12,10,11,12,2,87,,,
Table 119,Q12. To what extent do you agree or disagree with the following statements? I feel confident that I understand the statistics and data used to provide the number of Coronavirus cases,ONLINE Fieldwork: 11th to 13th September 2020,NET: Disagree,421,177,244,61,54,66,57,74,57,106,94,110,108,109,26,14,44,31,38,30,20,46,52,63,40,17,358,,,
Table 119,Q12. To what extent do you agree or disagree with the following statements? I feel confident that I understand the statistics and data used to provide the number of Coronavirus cases,ONLINE Fieldwork: 11th to 13th September 2020,Mean,0.46cm,0.57ac,0.35,0.46,0.45,0.41,0.47,0.45,0.53,0.46,0.62al,0.48m,0.29,0.39,0.63av,0.48,0.52,0.44,0.52,0.46,0.42,0.37,0.42,0.47,0.37,0.35,0.45,,,
