table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A)
Table 155,Q13. How closely followed official advice in last week: Only meeting outside with up to six people from two households,ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,131,70,61,13,9,12,30,23,22,31,46,43,19,23,-,-,-,-,-,-,131,-,-,-,-,-,-
Table 155,Q13. How closely followed official advice in last week: Only meeting outside with up to six people from two households,ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,101,52*,49*,10**,6**,9**,27**,19**,13**,23**,35*,36*,14**,16**,-**,-**,-**,-**,-**,-**,101,-**,-**,-**,-**,-**,-**
Table 155,Q13. How closely followed official advice in last week: Only meeting outside with up to six people from two households,ONLINE Fieldwork: 5th to 11th April 2021,NET: Closely,92,44,48,10,6,7,23,16,13,23,33,32,13,14,-,-,-,-,-,-,92,-,-,-,-,-,-
Table 155,Q13. How closely followed official advice in last week: Only meeting outside with up to six people from two households,ONLINE Fieldwork: 5th to 11th April 2021,Very closely        (+2),68,31,37,6,3,5,17,12,12,16,21,26,12,10,-,-,-,-,-,-,68,-,-,-,-,-,-
Table 155,Q13. How closely followed official advice in last week: Only meeting outside with up to six people from two households,ONLINE Fieldwork: 5th to 11th April 2021,Fairly closely      (+1),24,13,11,4,3,2,5,5,1,7,12,6,2,4,-,-,-,-,-,-,24,-,-,-,-,-,-
Table 155,Q13. How closely followed official advice in last week: Only meeting outside with up to six people from two households,ONLINE Fieldwork: 5th to 11th April 2021,Not very closely    (-1),6,5,1,-,-,2,4,1,-,-,2,3,*,2,-,-,-,-,-,-,6,-,-,-,-,-,-
Table 155,Q13. How closely followed official advice in last week: Only meeting outside with up to six people from two households,ONLINE Fieldwork: 5th to 11th April 2021,Not at all closely  (-2),3,3,-,1,1,-,1,1,-,*,1,1,-,1,-,-,-,-,-,-,3,-,-,-,-,-,-
Table 155,Q13. How closely followed official advice in last week: Only meeting outside with up to six people from two households,ONLINE Fieldwork: 5th to 11th April 2021,NET: Not closely,9,8,1,1,1,2,4,2,-,*,3,4,*,2,-,-,-,-,-,-,9,-,-,-,-,-,-
Table 155,Q13. How closely followed official advice in last week: Only meeting outside with up to six people from two households,ONLINE Fieldwork: 5th to 11th April 2021,Mean,1.47,1.24,1.71,1.43,1.23,1.26,1.3,1.3,1.93,1.63,1.41,1.47,1.81,1.31,-,-,-,-,-,-,1.47,-,-,-,-,-,-
Table 155,Q13. How closely followed official advice in last week: Only meeting outside with up to six people from two households,ONLINE Fieldwork: 5th to 11th April 2021,Standard deviation Standard error,0.98,1.2,0.59,0.98,1.2,1.2,1.16,1.21,0.26,0.65,0.93,1.07,0.56,1.16,-,-,-,-,-,-,0.98,-,-,-,-,-,-
Table 157,Q13. How closely followed official advice in last week: Only meeting outside with up to six people from two households,ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,24,15,9,1,1,3,4,5,5,6,5,8,2,9,24,-,-,-,-,-,-,-,-,-,-,-,-
Table 157,Q13. How closely followed official advice in last week: Only meeting outside with up to six people from two households,ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,23**,15**,8**,1**,1**,2**,5**,6**,3**,6**,4**,8**,3**,8**,23**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**
Table 157,Q13. How closely followed official advice in last week: Only meeting outside with up to six people from two households,ONLINE Fieldwork: 5th to 11th April 2021,NET: Closely,23,15,8,1,1,2,5,6,3,6,4,8,3,8,23,-,-,-,-,-,-,-,-,-,-,-,-
Table 157,Q13. How closely followed official advice in last week: Only meeting outside with up to six people from two households,ONLINE Fieldwork: 5th to 11th April 2021,Very closely        (+2),16,10,6,1,1,1,3,4,2,6,4,6,1,6,16,-,-,-,-,-,-,-,-,-,-,-,-
Table 157,Q13. How closely followed official advice in last week: Only meeting outside with up to six people from two households,ONLINE Fieldwork: 5th to 11th April 2021,Fairly closely      (+1),6,5,1,-,-,1,2,2,1,-,-,2,2,2,6,-,-,-,-,-,-,-,-,-,-,-,-
Table 157,Q13. How closely followed official advice in last week: Only meeting outside with up to six people from two households,ONLINE Fieldwork: 5th to 11th April 2021,Not very closely    (-1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Table 157,Q13. How closely followed official advice in last week: Only meeting outside with up to six people from two households,ONLINE Fieldwork: 5th to 11th April 2021,Not at all closely  (-2),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
