table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n)
Table 108,"Q13. How closely followed official advice in last week: Only meeting with any number of people from two households in public, within 5 miles and staying 2 metres apart",ONLINE Fieldwork: 5th to 7th June 2020,Unweighted base,108,44,64,10,7,20,20,21,18,19,24,38,17,29
Table 108,"Q13. How closely followed official advice in last week: Only meeting with any number of people from two households in public, within 5 miles and staying 2 metres apart",ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,101*,43*,58*,11**,8**,21**,16**,17**,16**,20**,21**,35*,19**,26**
Table 108,"Q13. How closely followed official advice in last week: Only meeting with any number of people from two households in public, within 5 miles and staying 2 metres apart",ONLINE Fieldwork: 5th to 7th June 2020,NET: Closely,92,40,51,9,6,20,15,15,15,17,20,33,17,22
Table 108,"Q13. How closely followed official advice in last week: Only meeting with any number of people from two households in public, within 5 miles and staying 2 metres apart",ONLINE Fieldwork: 5th to 7th June 2020,Very closely        (+2),73,36,37,6,5,16,14,11,12,14,16,27,14,16
Table 108,"Q13. How closely followed official advice in last week: Only meeting with any number of people from two households in public, within 5 miles and staying 2 metres apart",ONLINE Fieldwork: 5th to 7th June 2020,Fairly closely      (+1),19,4,15,3,1,4,1,4,4,3,4,6,3,6
Table 108,"Q13. How closely followed official advice in last week: Only meeting with any number of people from two households in public, within 5 miles and staying 2 metres apart",ONLINE Fieldwork: 5th to 7th June 2020,Not very closely    (-1),7,2,5,2,2,1,1,2,-,2,1,3,2,2
Table 108,"Q13. How closely followed official advice in last week: Only meeting with any number of people from two households in public, within 5 miles and staying 2 metres apart",ONLINE Fieldwork: 5th to 7th June 2020,Not at all closely  (-2),2,1,1,-,-,-,-,-,1,1,-,-,-,2
Table 108,"Q13. How closely followed official advice in last week: Only meeting with any number of people from two households in public, within 5 miles and staying 2 metres apart",ONLINE Fieldwork: 5th to 7th June 2020,NET: Not closely,9,3,6,2,2,1,1,2,1,3,1,3,2,4
Table 108,"Q13. How closely followed official advice in last week: Only meeting with any number of people from two households in public, within 5 miles and staying 2 metres apart",ONLINE Fieldwork: 5th to 7th June 2020,Mean,1.52,1.68,1.4,1.21,1.12,1.72,1.78,1.4,1.57,1.35,1.71,1.6,1.56,1.23
Table 108,"Q13. How closely followed official advice in last week: Only meeting with any number of people from two households in public, within 5 miles and staying 2 metres apart",ONLINE Fieldwork: 5th to 7th June 2020,Standard deviation Standard error,0.96,0.87,1.01,1.12,1.33,0.66,0.72,0.99,0.98,1.22,0.66,0.83,0.93,1.27
Table 108,"Q13. How closely followed official advice in last week: Only meeting with any number of people from two households in public, within 5 miles and staying 2 metres apart",ONLINE Fieldwork: 12th to 15th June 2020,Unweighted base,115,66,49,18,14,23,10,23,18,23,30,30,21,34
Table 108,"Q13. How closely followed official advice in last week: Only meeting with any number of people from two households in public, within 5 miles and staying 2 metres apart",ONLINE Fieldwork: 12th to 15th June 2020,Weighted base,100*,57*,44*,20**,15**,19**,8**,20**,14**,20**,23**,27**,19**,31**
Table 108,"Q13. How closely followed official advice in last week: Only meeting with any number of people from two households in public, within 5 miles and staying 2 metres apart",ONLINE Fieldwork: 12th to 15th June 2020,NET: Closely,97,54,43,20,15,18,8,20,13,18,23,26,18,30
Table 108,"Q13. How closely followed official advice in last week: Only meeting with any number of people from two households in public, within 5 miles and staying 2 metres apart",ONLINE Fieldwork: 12th to 15th June 2020,Very closely        (+2),72,41,31,13,8,13,6,13,10,16,19,20,8,24
Table 108,"Q13. How closely followed official advice in last week: Only meeting with any number of people from two households in public, within 5 miles and staying 2 metres apart",ONLINE Fieldwork: 12th to 15th June 2020,Fairly closely      (+1),25,13,12,6,6,5,1,7,4,2,3,6,9,6
Table 108,"Q13. How closely followed official advice in last week: Only meeting with any number of people from two households in public, within 5 miles and staying 2 metres apart",ONLINE Fieldwork: 12th to 15th June 2020,Not very closely    (-1),1,1,-,-,-,-,-,-,1,1,1,-,-,1
Table 108,"Q13. How closely followed official advice in last week: Only meeting with any number of people from two households in public, within 5 miles and staying 2 metres apart",ONLINE Fieldwork: 12th to 15th June 2020,Not at all closely  (-2),2,2,*,1,1,*,-,-,-,1,-,1,1,*
Table 108,"Q13. How closely followed official advice in last week: Only meeting with any number of people from two households in public, within 5 miles and staying 2 metres apart",ONLINE Fieldwork: 12th to 15th June 2020,NET: Not closely,4,3,*,1,1,*,-,-,1,2,1,1,1,1
Table 108,"Q13. How closely followed official advice in last week: Only meeting with any number of people from two households in public, within 5 miles and staying 2 metres apart",ONLINE Fieldwork: 12th to 15th June 2020,Mean,1.61,1.56,1.67,1.58,1.44,1.64,1.84,1.63,1.57,1.55,1.78,1.68,1.2,1.67
Table 108,"Q13. How closely followed official advice in last week: Only meeting with any number of people from two households in public, within 5 miles and staying 2 metres apart",ONLINE Fieldwork: 12th to 15th June 2020,Standard deviation Standard error,0.79,0.91,0.6,0.79,0.87,0.76,0.39,0.5,0.8,1.15,0.58,0.71,1.05,0.76
Table 117,"Q13. How closely followed official advice in last week: Only meeting with any number of people from two households in public, within 5 miles and staying 2 metres apart",ONLINE Fieldwork: 19th to 21st June 2020,Unweighted base,113,59,54,12,8,25,19,12,17,28,33,28,22,30
Table 117,"Q13. How closely followed official advice in last week: Only meeting with any number of people from two households in public, within 5 miles and staying 2 metres apart",ONLINE Fieldwork: 19th to 21st June 2020,Weighted base,103*,51*,52*,10**,6**,21**,15**,16**,15**,26**,27**,24**,26**,26**
Table 117,"Q13. How closely followed official advice in last week: Only meeting with any number of people from two households in public, within 5 miles and staying 2 metres apart",ONLINE Fieldwork: 19th to 21st June 2020,NET: Closely,92,42,50,8,5,18,12,16,12,25,24,22,24,22
Table 117,"Q13. How closely followed official advice in last week: Only meeting with any number of people from two households in public, within 5 miles and staying 2 metres apart",ONLINE Fieldwork: 19th to 21st June 2020,Very closely        (+2),66,27,38,3,1,11,6,13,9,23,16,18,18,14
Table 117,"Q13. How closely followed official advice in last week: Only meeting with any number of people from two households in public, within 5 miles and staying 2 metres apart",ONLINE Fieldwork: 19th to 21st June 2020,Fairly closely      (+1),26,14,12,5,3,7,6,3,3,3,9,4,6,8
Table 117,"Q13. How closely followed official advice in last week: Only meeting with any number of people from two households in public, within 5 miles and staying 2 metres apart",ONLINE Fieldwork: 19th to 21st June 2020,Not very closely    (-1),7,5,2,-,-,3,2,-,1,1,1,2,2,2
Table 117,"Q13. How closely followed official advice in last week: Only meeting with any number of people from two households in public, within 5 miles and staying 2 metres apart",ONLINE Fieldwork: 19th to 21st June 2020,Not at all closely  (-2),4,4,-,1,1,-,1,-,2,-,1,-,-,3
Table 117,"Q13. How closely followed official advice in last week: Only meeting with any number of people from two households in public, within 5 miles and staying 2 metres apart",ONLINE Fieldwork: 19th to 21st June 2020,NET: Not closely,11,9,2,1,1,3,3,-,3,1,2,2,2,5
Table 117,"Q13. How closely followed official advice in last week: Only meeting with any number of people from two households in public, within 5 miles and staying 2 metres apart",ONLINE Fieldwork: 19th to 21st June 2020,Mean,1.38,1.11,1.65,0.95,0.61,1.23,0.97,1.81,1.06,1.83,1.35,1.57,1.59,1.05
Table 117,"Q13. How closely followed official advice in last week: Only meeting with any number of people from two households in public, within 5 miles and staying 2 metres apart",ONLINE Fieldwork: 19th to 21st June 2020,Standard deviation Standard error,1.06,1.29,0.69,1.3,1.55,1.07,1.25,0.4,1.5,0.54,1.04,0.92,0.79,1.36
