table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 112,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,2119,1016,1103,261,229,328,340,383,329,478,554,596,460,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,2119,1036,1083,292,253,354,328,364,305,475,576,597,430,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 29th to 31st May 2020,Washing hands regularly and thoroughly,488,231,257,50,46,82,87,104,68,96,136,141,95,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 29th to 31st May 2020,Limiting your contact with other people (including family and friends),262,133,129,36,28,36,31,43,48,67,60,88,61,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 29th to 31st May 2020,Maintaining social distancing (staying 2 metres apart from people) when outside,322,154,168,51,44,56,47,48,45,75,95,85,67,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 29th to 31st May 2020,Wearing a face mask/ covering,50,30,20,10,10,20,7,3,5,4,15,17,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 29th to 31st May 2020,Staying at home as much as possible,828,407,421,123,103,110,121,137,122,215,215,227,170,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 29th to 31st May 2020,Work from home (if possible),132,65,67,19,18,41,25,23,12,12,43,30,24,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 29th to 31st May 2020,Not touching your face when outside,37,16,21,3,3,7,10,5,5,6,13,9,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 1st most important,ONLINE Fieldwork: 29th to 31st May 2020,None of these,*,-,*,-,-,-,*,-,-,-,-,*,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
