table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 116,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,2119,1016,1103,261,229,328,340,383,329,478,554,596,460,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 116,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,2119,1036,1083,292,253,354,328,364,305,475,576,597,430,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 116,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 29th to 31st May 2020,NET: Important,1040,533,507,135,111,172,155,183,154,242,297,301,190,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 116,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 29th to 31st May 2020,1st most important,262,133,129,36,28,36,31,43,48,67,60,88,61,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 116,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 29th to 31st May 2020,2nd most important,353,180,173,41,32,68,56,59,54,76,106,96,53,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 116,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 29th to 31st May 2020,3rd most important,425,220,205,58,51,67,68,80,53,99,131,117,76,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 116,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 29th to 31st May 2020,No answer,1079,503,576,158,142,182,173,182,151,234,279,296,240,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 344,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,1038,1055,264,232,340,332,333,308,516,585,546,430,532,195,78,247,150,170,165,105,217,289,243,173,61,341,911,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 344,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,1023,1070,289,247,349,324,360,301,469,569,590,425,509,175,83*,231,171,183,150,99*,197,276,286,179,63*,330,849,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 344,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 22nd to 24th May 2020,NET: Important,1083,541,542,157,132,172,155,197,157,245,295,312,209,267,93,40,99,110,89,68,53,110,147,149,91,34,163,437,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 344,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 22nd to 24th May 2020,1st most important,256,131,125,39,30,41,41,51,33,51,70,78,50,58,20,9,21,33,18,19,8,29,31,32,25,11,35,113,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 344,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 22nd to 24th May 2020,2nd most important,419,203,216,64,58,70,63,72,63,88,109,116,87,108,32,16,46,33,33,26,27,37,63,59,33,14,60,167,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 344,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 22nd to 24th May 2020,3rd most important,408,206,202,55,44,62,50,74,61,106,117,118,72,101,41,16,32,44,38,22,18,44,52,58,33,9,67,157,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 344,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 22nd to 24th May 2020,No answer,1010,483,528,131,115,177,170,163,145,224,274,278,216,242,81,43,132,60,94,83,46,87,129,137,88,28,167,411,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 345,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1761,1021,1578,636,720,808,178,613,163,163,562,625,1859,35,687,244,99,834,656,,,,,,,,,,,,,,,,,,
Table 345,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752,1015,1563,620,724,814,182,617,156,163,565,620,1854,32*,682,244,99*,808,672,,,,,,,,,,,,,,,,,,
Table 345,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 22nd to 24th May 2020,NET: Important,1083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896,514,803,349,404,428,88,322,74,76,307,327,949,19,345,124,58,405,356,,,,,,,,,,,,,,,,,,
Table 345,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 22nd to 24th May 2020,1st most important,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,111,178,83,92,103,26,72,16,17,76,85,222,5,69,34,12,92,88,,,,,,,,,,,,,,,,,,
Table 345,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 22nd to 24th May 2020,2nd most important,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,202,307,128,166,194,33,142,34,37,124,125,360,6,138,41,28,160,131,,,,,,,,,,,,,,,,,,
Table 345,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Limiting your contact with other people (including family and friends),ONLINE Fieldwork: 22nd to 24th May 2020,3rd most important,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,201,318,138,147,131,29,107,25,21,107,117,367,8,138,49,17,153,137,,,,,,,,,,,,,,,,,,
