table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 121,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,2119,1016,1103,261,229,328,340,383,329,478,554,596,460,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 121,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,2119,1036,1083,292,253,354,328,364,305,475,576,597,430,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 121,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 29th to 31st May 2020,NET: Important,271,139,131,37,33,62,57,38,33,44,75,68,67,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 121,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 29th to 31st May 2020,1st most important,37,16,21,3,3,7,10,5,5,6,13,9,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 121,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 29th to 31st May 2020,2nd most important,118,65,54,15,15,37,19,19,11,17,26,27,37,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 121,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 29th to 31st May 2020,3rd most important,115,59,57,18,14,18,27,15,17,21,37,32,25,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 121,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 29th to 31st May 2020,No answer,1848,897,951,255,219,292,272,326,272,432,501,529,363,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 359,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,1038,1055,264,232,340,332,333,308,516,585,546,430,532,195,78,247,150,170,165,105,217,289,243,173,61,341,911,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 359,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,1023,1070,289,247,349,324,360,301,469,569,590,425,509,175,83*,231,171,183,150,99*,197,276,286,179,63*,330,849,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 359,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Important,230,125,104,31,26,46,39,38,30,47,56,54,62,57,20,8,32,16,27,14,8,18,35,31,16,5,35,98,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 359,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 22nd to 24th May 2020,1st most important,44,28,16,4,4,12,9,8,1,10,5,13,17,9,7,1,5,1,8,6,3,1,4,6,3,1,5,23,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 359,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 22nd to 24th May 2020,2nd most important,76,37,39,9,9,17,9,11,9,20,26,20,12,17,5,1,11,10,11,3,1,6,12,8,6,2,17,27,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 359,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 22nd to 24th May 2020,3rd most important,110,60,50,18,13,17,21,18,20,16,25,22,33,31,9,6,17,5,8,4,5,12,19,17,7,2,12,47,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 359,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 22nd to 24th May 2020,No answer,1863,898,965,258,221,304,285,322,272,422,513,536,362,452,155,76,199,155,155,137,91,179,241,256,163,58,295,751,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 360,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1761,1021,1578,636,720,808,178,613,163,163,562,625,1859,35,687,244,99,834,656,,,,,,,,,,,,,,,,,,
Table 360,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752,1015,1563,620,724,814,182,617,156,163,565,620,1854,32*,682,244,99*,808,672,,,,,,,,,,,,,,,,,,
Table 360,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Important,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,90,150,52,59,83,30,67,17,22,57,63,184,6,62,21,13,95,68,,,,,,,,,,,,,,,,,,
Table 360,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 22nd to 24th May 2020,1st most important,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,14,26,5,12,12,9,9,2,3,11,10,30,1,9,7,3,17,13,,,,,,,,,,,,,,,,,,
Table 360,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 22nd to 24th May 2020,2nd most important,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,28,50,19,24,30,6,23,5,3,22,18,62,4,21,5,8,35,18,,,,,,,,,,,,,,,,,,
