table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 118,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,2119,1016,1103,261,229,328,340,383,329,478,554,596,460,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 118,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,2119,1036,1083,292,253,354,328,364,305,475,576,597,430,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 118,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 29th to 31st May 2020,NET: Important,216,111,105,49,47,54,35,25,20,33,60,67,39,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 118,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 29th to 31st May 2020,1st most important,50,30,20,10,10,20,7,3,5,4,15,17,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 118,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 29th to 31st May 2020,2nd most important,63,31,31,19,18,11,8,12,8,4,17,21,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 118,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 29th to 31st May 2020,3rd most important,103,50,54,20,19,23,20,9,7,25,28,28,23,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 118,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 29th to 31st May 2020,No answer,1903,926,978,243,206,299,293,340,286,443,517,531,391,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 350,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,1038,1055,264,232,340,332,333,308,516,585,546,430,532,195,78,247,150,170,165,105,217,289,243,173,61,341,911,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 350,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,1023,1070,289,247,349,324,360,301,469,569,590,425,509,175,83*,231,171,183,150,99*,197,276,286,179,63*,330,849,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 350,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Important,204,110,94,52,51,31,34,32,20,34,46,58,35,65,18,8,24,8,27,15,11,21,39,17,13,4,38,72,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 350,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 22nd to 24th May 2020,1st most important,51,27,24,10,10,11,8,10,6,6,11,19,6,14,2,3,5,3,3,3,2,5,16,3,3,2,11,20,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 350,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 22nd to 24th May 2020,2nd most important,69,39,30,16,14,15,11,9,7,10,10,20,16,23,5,3,6,1,11,5,4,9,14,5,6,-,14,20,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
