table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A)
Table 2,"Q.1a Typically, how often would you say you use social media?{",ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,1007,1091,261,230,362,326,369,329,451,580,582,460,476,190,87,212,173,181,164,113,190,269,272,182,65,1730
Table 2,"Q.1a Typically, how often would you say you use social media?{",ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760
Table 2,"Q.1a Typically, how often would you say you use social media?{",ONLINE Fieldwork: 11th to 13th September 2020,NET: At least once a day,1674,786,888,279,241,325,283,273,221,292,468,475,335,395,143,69,179,132,147,117,80,153,230,226,142,55,1396
Table 2,"Q.1a Typically, how often would you say you use social media?{",ONLINE Fieldwork: 11th to 13th September 2020,10 times or more a day,622,275,347,144,124,141,134,97,67,39,170,185,114,154,59,27,55,61,56,40,27,50,103,84,49,10,525
Table 2,"Q.1a Typically, how often would you say you use social media?{",ONLINE Fieldwork: 11th to 13th September 2020,5-9 times a day,397,185,212,83,71,86,58,57,52,62,122,105,88,82,29,19,42,34,42,33,18,38,45,44,37,15,336
Table 2,"Q.1a Typically, how often would you say you use social media?{",ONLINE Fieldwork: 11th to 13th September 2020,2-4 times a day,428,206,222,39,33,73,53,86,62,116,124,132,81,91,33,11,62,26,35,22,26,37,53,68,33,23,347
Table 2,"Q.1a Typically, how often would you say you use social media?{",ONLINE Fieldwork: 11th to 13th September 2020,About once a day,227,120,107,13,13,26,38,34,39,76,53,53,52,69,21,11,20,12,14,21,9,28,29,30,24,8,189
Table 2,"Q.1a Typically, how often would you say you use social media?{",ONLINE Fieldwork: 11th to 13th September 2020,A few times a week,105,57,48,5,3,7,15,25,14,40,28,33,20,23,8,1,10,7,11,7,9,9,18,13,10,3,85
Table 2,"Q.1a Typically, how often would you say you use social media?{",ONLINE Fieldwork: 11th to 13th September 2020,About once a week,42,24,17,2,1,4,3,10,9,15,8,10,11,12,2,-,7,2,1,6,1,8,3,5,7,1,38
Table 2,"Q.1a Typically, how often would you say you use social media?{",ONLINE Fieldwork: 11th to 13th September 2020,About once a month,24,18,5,-,-,2,4,5,6,6,4,6,6,9,1,3,4,4,2,3,-,-,2,3,3,-,23
Table 2,"Q.1a Typically, how often would you say you use social media?{",ONLINE Fieldwork: 11th to 13th September 2020,Less than once a month,47,20,27,1,1,4,5,8,7,21,8,10,15,13,9,1,6,4,-,3,3,2,7,7,4,1,34
Table 2,"Q.1a Typically, how often would you say you use social media?{",ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760
Table 2,"Q.1a Typically, how often would you say you use social media?{",ONLINE Fieldwork: 11th to 13th September 2020,Never,207,120,87,3,3,8,15,40,47,95,54,58,39,57,13,10,26,20,22,16,7,25,17,33,14,4,184
