table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 6,Q4a. Types of news/information seen on social media and search engines in last week: Facebook,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,585,243,342,92,89,129,126,96,63,79,150,131,135,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 6,Q4a. Types of news/information seen on social media and search engines in last week: Facebook,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,581,245,335,103*,100*,134,119,89*,55*,81*,144,148,125,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 6,Q4a. Types of news/information seen on social media and search engines in last week: Facebook,ONLINE Fieldwork: 9th to 13th April 2020,"Directly from traditional TV or press news sources such as the BBC, Telegraph, The Daily Mail, etc",319,124,195,58,55,79,66,50,30,36,84,69,72,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 6,Q4a. Types of news/information seen on social media and search engines in last week: Facebook,ONLINE Fieldwork: 9th to 13th April 2020,"Directly from official sources such as NHS, Government etc",300,120,181,52,52,67,67,45,26,43,71,68,63,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 6,Q4a. Types of news/information seen on social media and search engines in last week: Facebook,ONLINE Fieldwork: 9th to 13th April 2020,Facts forwarded/ posted/ shared from a person you know,293,116,177,56,54,59,60,42,28,48,70,89,59,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 6,Q4a. Types of news/information seen on social media and search engines in last week: Facebook,ONLINE Fieldwork: 9th to 13th April 2020,Opinions from a person you know,272,115,157,55,53,67,52,43,27,29,75,81,58,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 6,Q4a. Types of news/information seen on social media and search engines in last week: Facebook,ONLINE Fieldwork: 9th to 13th April 2020,Opinions from a person you don't know,153,60,93,34,34,28,35,20,18,17,38,29,45,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 6,Q4a. Types of news/information seen on social media and search engines in last week: Facebook,ONLINE Fieldwork: 9th to 13th April 2020,Facts forwarded/ posted/ shared from a person you don't know,151,57,94,27,26,33,37,12,20,21,33,37,38,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 6,Q4a. Types of news/information seen on social media and search engines in last week: Facebook,ONLINE Fieldwork: 9th to 13th April 2020,"Directly from online news providers like Buzzfeed, Huffington Post, Vice, etc.",137,53,84,33,32,42,29,9,8,15,33,44,27,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 6,Q4a. Types of news/information seen on social media and search engines in last week: Facebook,ONLINE Fieldwork: 9th to 13th April 2020,"Directly from 'Nonmainstream' news sources such as Russia Today, Breitbart, Swawkbox etc",60,38,22,21,21,16,12,4,2,4,15,13,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 6,Q4a. Types of news/information seen on social media and search engines in last week: Facebook,ONLINE Fieldwork: 9th to 13th April 2020,I don't notice where the information is coming from,30,18,12,4,4,7,7,6,3,2,9,5,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 7,Q4a. Types of news/information seen on social media and search engines in last week: Facebook,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,560,224,336,68,67,134,111,96,67,84,145,163,112,140,50,25,61,41,48,44,42,43,68,64,50,24,444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 7,Q4a. Types of news/information seen on social media and search engines in last week: Facebook,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,561,230,331,75*,74*,131,103*,102*,61*,89*,142,164,104*,150,47*,24**,65*,47*,52*,39*,36*,39*,71*,66*,49*,25**,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 7,Q4a. Types of news/information seen on social media and search engines in last week: Facebook,ONLINE Fieldwork: 11th to 13th September 2020,"Directly from official sources such as NHS, Government etc",285,106,180,44,43,60,55,49,35,43,78,86,51,70,27,16,27,23,26,19,19,18,38,36,25,9,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 7,Q4a. Types of news/information seen on social media and search engines in last week: Facebook,ONLINE Fieldwork: 11th to 13th September 2020,"Directly from traditional TV or press news sources such as the BBC, Telegraph, The Daily Mail, etc",276,95,181,36,36,71,49,53,29,37,65,86,49,75,22,12,31,28,32,17,20,14,33,23,28,15,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 7,Q4a. Types of news/information seen on social media and search engines in last week: Facebook,ONLINE Fieldwork: 11th to 13th September 2020,Facts forwarded/ posted/ shared from a person you know,248,93,155,34,34,56,43,47,23,45,60,71,48,69,25,9,35,20,19,11,16,23,28,27,21,13,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 7,Q4a. Types of news/information seen on social media and search engines in last week: Facebook,ONLINE Fieldwork: 11th to 13th September 2020,Opinions from a person you know,246,102,144,36,35,61,48,48,22,30,66,76,44,60,22,12,32,21,22,20,10,13,32,26,28,8,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 7,Q4a. Types of news/information seen on social media and search engines in last week: Facebook,ONLINE Fieldwork: 11th to 13th September 2020,Opinions from a person you don't know,123,57,66,12,12,29,25,29,14,13,23,42,26,33,12,3,16,4,12,8,4,9,17,15,13,8,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 7,Q4a. Types of news/information seen on social media and search engines in last week: Facebook,ONLINE Fieldwork: 11th to 13th September 2020,Facts forwarded/ posted/ shared from a person you don't know,116,46,70,10,10,30,19,26,13,18,23,31,26,36,12,2,16,7,9,9,5,13,9,15,13,7,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 7,Q4a. Types of news/information seen on social media and search engines in last week: Facebook,ONLINE Fieldwork: 11th to 13th September 2020,"Directly from online news providers like Buzzfeed, Huffington Post, Vice, etc.",101,44,57,21,21,34,18,13,5,10,30,34,13,24,4,6,9,8,9,5,6,9,23,10,10,2,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 7,Q4a. Types of news/information seen on social media and search engines in last week: Facebook,ONLINE Fieldwork: 11th to 13th September 2020,"Directly from 'Nonmainstream' news sources such as Russia Today, Breitbart, Swawkbox etc",32,18,13,7,7,8,8,3,4,2,8,15,4,5,1,5,3,4,4,3,1,*,4,3,2,1,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 7,Q4a. Types of news/information seen on social media and search engines in last week: Facebook,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,561,230,331,75*,74*,131,103*,102*,61*,89*,142,164,104*,150,47*,24**,65*,47*,52*,39*,36*,39*,71*,66*,49*,25**,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 7,Q4a. Types of news/information seen on social media and search engines in last week: Facebook,ONLINE Fieldwork: 11th to 13th September 2020,I don't notice where the information is coming from,40,19,21,7,7,8,9,1,6,9,10,8,5,18,1,3,7,3,1,3,1,5,7,5,4,-,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 6,Q4a. Types of news/information seen on social media and search engines in last week: Facebook,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,598,263,335,95,90,117,133,110,57,86,160,175,105,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 6,Q4a. Types of news/information seen on social media and search engines in last week: Facebook,ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,606,260,346,101*,95*,117*,129,110*,59*,90*,161,160,140*,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 6,Q4a. Types of news/information seen on social media and search engines in last week: Facebook,ONLINE Fieldwork: 17th to 19th April 2020,"Directly from official sources such as NHS, Government etc",315,128,186,54,51,69,71,48,35,38,86,81,75,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 6,Q4a. Types of news/information seen on social media and search engines in last week: Facebook,ONLINE Fieldwork: 17th to 19th April 2020,"Directly from traditional TV or press news sources such as the BBC, Telegraph, The Daily Mail, etc",296,116,180,49,46,54,50,70,30,44,81,79,57,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
