table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 20,"Q4b2a And when you come across these warnings or notices, how often do you click through to view the content being flagged in this way?",ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,674,326,348,115,105,161,137,103,83,75,192,194,137,151,59,30,75,56,60,58,47,49,89,73,54,24,544,,,
Table 20,"Q4b2a And when you come across these warnings or notices, how often do you click through to view the content being flagged in this way?",ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,677,330,347,128*,115*,156,137,105*,75*,76*,187,194,130,167,54*,28**,84*,60*,63*,54*,42*,52*,90*,73*,55*,24**,559,,,
Table 20,"Q4b2a And when you come across these warnings or notices, how often do you click through to view the content being flagged in this way?",ONLINE Fieldwork: 11th to 13th September 2020,NET: Each time / most times / sometimes,335,172,163,72,65,83,69,39,39,32,94,92,71,78,23,15,41,26,36,26,23,27,51,37,19,11,279,,,
Table 20,"Q4b2a And when you come across these warnings or notices, how often do you click through to view the content being flagged in this way?",ONLINE Fieldwork: 11th to 13th September 2020,Each time I see the warning or notices,54,31,24,10,10,12,13,8,7,4,16,13,8,17,4,3,9,4,4,6,6,2,8,6,1,2,43,,,
Table 20,"Q4b2a And when you come across these warnings or notices, how often do you click through to view the content being flagged in this way?",ONLINE Fieldwork: 11th to 13th September 2020,Most times,110,65,45,33,30,34,16,9,13,5,32,25,30,22,5,3,17,7,13,8,10,9,20,10,6,3,92,,,
Table 20,"Q4b2a And when you come across these warnings or notices, how often do you click through to view the content being flagged in this way?",ONLINE Fieldwork: 11th to 13th September 2020,Sometimes,171,76,94,29,25,37,40,22,20,23,45,54,33,39,14,8,15,15,19,13,7,16,24,22,12,6,144,,,
Table 20,"Q4b2a And when you come across these warnings or notices, how often do you click through to view the content being flagged in this way?",ONLINE Fieldwork: 11th to 13th September 2020,Rarely,208,103,105,34,28,50,43,36,21,22,62,56,39,51,14,10,20,19,18,21,12,18,27,22,19,6,175,,,
Table 20,"Q4b2a And when you come across these warnings or notices, how often do you click through to view the content being flagged in this way?",ONLINE Fieldwork: 11th to 13th September 2020,Never,135,55,79,22,22,23,24,29,15,21,31,45,20,38,16,3,23,16,9,7,7,7,11,13,16,7,105,,,
Table 20,"Q4b2a And when you come across these warnings or notices, how often do you click through to view the content being flagged in this way?",ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,695,375,320,142,131,174,127,99,77,76,213,196,127,159,71,20,70,53,58,54,40,55,111,89,46,28,556,,,
Table 20,"Q4b2a And when you come across these warnings or notices, how often do you click through to view the content being flagged in this way?",ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,710,377,332,152,140,167,134,110*,71*,75*,208,206,144,152,67*,20**,81*,62*,58*,55*,34*,57*,109*,95*,50*,20**,588,,,
