table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 24,Q4b3. To what extent do you agree or disagree with the following statements? I think it's OK for untrue stories about Coronavirus to be posted,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,1007,1091,261,230,362,326,369,329,451,580,582,460,476,190,87,212,173,181,164,113,190,269,272,182,65,1730,,,
Table 24,Q4b3. To what extent do you agree or disagree with the following statements? I think it's OK for untrue stories about Coronavirus to be posted,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,
Table 24,Q4b3. To what extent do you agree or disagree with the following statements? I think it's OK for untrue stories about Coronavirus to be posted,ONLINE Fieldwork: 11th to 13th September 2020,NET: Agree,389,234,155,96,82,86,59,60,34,53,134,96,61,98,39,16,37,22,27,37,19,27,58,59,40,9,323,,,
Table 24,Q4b3. To what extent do you agree or disagree with the following statements? I think it's OK for untrue stories about Coronavirus to be posted,ONLINE Fieldwork: 11th to 13th September 2020,Strongly agree      (+2),100,63,37,30,27,23,10,14,10,12,31,30,14,25,8,3,9,5,10,9,4,11,14,13,12,1,87,,,
Table 24,Q4b3. To what extent do you agree or disagree with the following statements? I think it's OK for untrue stories about Coronavirus to be posted,ONLINE Fieldwork: 11th to 13th September 2020,Slightly agree      (+1),289,171,118,66,55,63,50,45,24,41,103,67,47,73,31,13,28,17,17,28,14,15,44,46,28,8,236,,,
Table 24,Q4b3. To what extent do you agree or disagree with the following statements? I think it's OK for untrue stories about Coronavirus to be posted,ONLINE Fieldwork: 11th to 13th September 2020,Neither agree nor    (0) disagree,294,146,147,47,41,69,54,47,34,42,75,82,67,70,26,10,33,22,29,19,15,30,47,36,18,8,244,,,
Table 24,Q4b3. To what extent do you agree or disagree with the following statements? I think it's OK for untrue stories about Coronavirus to be posted,ONLINE Fieldwork: 11th to 13th September 2020,Slightly disagree   (-1),359,161,197,61,52,65,62,64,38,69,99,108,64,87,24,10,45,33,31,18,17,36,42,57,35,12,306,,,
Table 24,Q4b3. To what extent do you agree or disagree with the following statements? I think it's OK for untrue stories about Coronavirus to be posted,ONLINE Fieldwork: 11th to 13th September 2020,Strongly disagree   (-2),1057,485,572,86,74,129,149,190,196,307,263,305,234,255,86,48,118,93,96,76,49,105,130,135,86,35,887,,,
Table 24,Q4b3. To what extent do you agree or disagree with the following statements? I think it's OK for untrue stories about Coronavirus to be posted,ONLINE Fieldwork: 11th to 13th September 2020,NET: Disagree,1416,646,770,146,126,194,211,254,234,376,362,414,298,342,110,58,163,127,127,94,66,140,172,192,121,46,1193,,,
Table 24,Q4b3. To what extent do you agree or disagree with the following statements? I think it's OK for untrue stories about Coronavirus to be posted,ONLINE Fieldwork: 11th to 13th September 2020,Mean,-0.95c,-0.81a,-1.07,-0.37a,-0.37a,-0.61a,-0.90i,-1.02i,-1.28,-1.31,-0.81a,-1,-1.07,-0.93,-0.86,-1.05,-1.01,-1.13,-1.01,-0.82r,-0.92,-1.05,-0.83r,-0.89,-0.86,-1.13,-0.95,,,
