table,question,date,response,I think that untrue stories or items about Coronavirus should not be posted or shared on social media,"I think that people and organisations have a right to say what they want on social media  about Coronavirus, even if it might not be true","I think it's OK for untrue stories about Coronavirus to be posted and shared on social media , as long as they are flagged as potentially untrustworthy/ untrue by the social media platform"
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,2098,2098
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,2098,2098
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 11th to 13th September 2020,NET: Agree,1729,449,389
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 11th to 13th September 2020,Strongly agree      (+2),1324,118,100
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 11th to 13th September 2020,Slightly agree      (+1),405,331,289
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 11th to 13th September 2020,Neither agree nor    (0) disagree,225,376,294
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 11th to 13th September 2020,Slightly disagree   (-1),70,462,359
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 11th to 13th September 2020,Strongly disagree   (-2),74,811,1057
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 11th to 13th September 2020,NET: Disagree,144,1273,1416
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 11th to 13th September 2020,Mean,1.35,-0.72,-0.95
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,1.03,1.28,1.27
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,2121,2121,2121
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,2121,2121,2121
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 5th to 11th April 2021,NET: Agree,1671,449,455
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 5th to 11th April 2021,Strongly agree      (+2),1255,141,118
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 5th to 11th April 2021,Slightly agree      (+1),416,308,337
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 5th to 11th April 2021,Neither agree nor    (0) disagree,253,393,335
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 5th to 11th April 2021,Slightly disagree   (-1),96,527,399
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 5th to 11th April 2021,Strongly disagree   (-2),100,752,933
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 5th to 11th April 2021,NET: Disagree,196,1279,1331
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 5th to 11th April 2021,Mean,1.24,-0.68,-0.8
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 5th to 11th April 2021,Standard deviation Standard error,1.12,1.27,1.3
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 14th March 2021,Unweighted base,2144,2144,2144
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 14th March 2021,Weighted base,2144,2144,2144
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 14th March 2021,NET: Agree,1745,428,428
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 14th March 2021,Strongly agree      (+2),1334,113,127
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 14th March 2021,Slightly agree      (+1),411,315,301
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 14th March 2021,Neither agree nor    (0) disagree,228,373,278
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 14th March 2021,Slightly disagree   (-1),83,513,445
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 14th March 2021,Strongly disagree   (-2),88,830,993
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 14th March 2021,NET: Disagree,171,1343,1438
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 14th March 2021,Mean,1.32,-0.76,-0.87
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 12th to 14th March 2021,Standard deviation Standard error,1.07,1.25,1.29
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 6th to 8th November 2020,Unweighted base,2101,2101,2101
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 6th to 8th November 2020,Weighted base,2101,2101,2101
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 6th to 8th November 2020,NET: Agree,1703,419,391
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 6th to 8th November 2020,Strongly agree      (+2),1335,129,99
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 6th to 8th November 2020,Slightly agree      (+1),368,289,292
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 6th to 8th November 2020,Neither agree nor    (0) disagree,250,401,335
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 6th to 8th November 2020,Slightly disagree   (-1),67,486,406
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 6th to 8th November 2020,Strongly disagree   (-2),82,795,969
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 6th to 8th November 2020,NET: Disagree,149,1281,1375
Table 21,Q4b3. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 6th to 8th November 2020,Mean,1.34,-0.73,-0.88
