table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Eastern (v),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,61,28,33,4,4,8,14,11,16,8,19,17,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,63*,31**,32**,4**,4**,8**,13**,11**,16**,10**,19**,21**,12**,12**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,NET: More,39,21,18,3,3,3,10,7,8,8,11,13,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,A lot more          (+3),20,10,11,2,2,1,7,4,4,2,2,7,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,A little more       (+2),19,11,8,1,1,2,3,3,4,6,9,5,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,About the same      (+1),18,8,10,1,1,3,1,4,7,2,6,7,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,Don't use            (0),6,2,4,-,-,3,2,-,1,-,2,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,Mean,1.84,1.9,1.78,2.23,2.23,1.14,2.14,1.99,1.69,1.95,1.62,1.91,2.19,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,Standard deviation Standard error,0.99,0.93,1.06,0.97,0.97,1.04,1.18,0.91,0.96,0.68,0.82,0.97,0.99,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 21,Q4c. Use of types of media organisations: Northern Ireland wide media organisations,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,96,43,53,1,1,10,14,26,20,25,33,22,10,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
