table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: Advertising,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,122,59,63,36,30,24,16,16,16,14,38,28,25,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: Advertising,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,122,62*,60*,38*,32**,23**,17**,13**,16**,14**,37*,32**,23**,30**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: Advertising,ONLINE Fieldwork: 9th to 13th April 2020,NET: Trust,56,33,23,15,14,15,8,4,5,9,11,11,13,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: Advertising,ONLINE Fieldwork: 9th to 13th April 2020,5 - Trust completely,21,12,8,5,5,8,1,3,2,2,2,6,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: Advertising,ONLINE Fieldwork: 9th to 13th April 2020,4,36,21,14,11,10,7,6,1,3,7,9,5,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: Advertising,ONLINE Fieldwork: 9th to 13th April 2020,3,35,13,22,15,12,5,5,3,5,1,7,13,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: Advertising,ONLINE Fieldwork: 9th to 13th April 2020,2,24,11,13,7,5,1,3,4,4,5,13,7,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: Advertising,ONLINE Fieldwork: 9th to 13th April 2020,1 - Do not trust at all,7,5,2,1,1,2,1,1,2,-,6,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: Advertising,ONLINE Fieldwork: 9th to 13th April 2020,NET: Do not trust,31,16,15,8,6,4,5,5,5,5,19,8,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: Advertising,ONLINE Fieldwork: 9th to 13th April 2020,Mean,3.31,3.4,3.23,3.29,3.38,3.71,3.19,3.1,2.99,3.44,2.69,3.25,3.6,3.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: Advertising,ONLINE Fieldwork: 9th to 13th April 2020,Standard deviation Standard error,1.14,1.22,1.06,0.98,1.01,1.27,1.11,1.39,1.19,1.1,1.21,1.09,0.84,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,Q5. Trust in the sources for information/news about Coronavirus used in last week: Advertising,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,70,39,31,22,19,17,13,6,5,7,20,22,14,14,8,4,7,5,5,6,3,7,12,7,5,1,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,Q5. Trust in the sources for information/news about Coronavirus used in last week: Advertising,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,73*,41*,32**,25**,21**,19**,11**,7**,3**,7**,20**,25**,13**,15**,10**,4**,8**,5**,7**,7**,3**,8**,9**,8**,3**,1**,60*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,Q5. Trust in the sources for information/news about Coronavirus used in last week: Advertising,ONLINE Fieldwork: 11th to 13th September 2020,NET: Trust,19,13,6,5,4,5,2,4,-,3,8,7,2,2,4,3,2,2,-,-,-,1,4,2,-,-,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,Q5. Trust in the sources for information/news about Coronavirus used in last week: Advertising,ONLINE Fieldwork: 11th to 13th September 2020,5 - Trust completely,8,7,1,2,2,2,2,2,-,-,3,2,-,2,-,2,2,1,-,-,-,-,2,*,-,-,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,Q5. Trust in the sources for information/news about Coronavirus used in last week: Advertising,ONLINE Fieldwork: 11th to 13th September 2020,4,11,6,5,3,2,3,-,2,-,3,5,4,2,-,4,1,-,1,-,-,-,1,1,2,-,-,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,Q5. Trust in the sources for information/news about Coronavirus used in last week: Advertising,ONLINE Fieldwork: 11th to 13th September 2020,3,33,19,14,11,9,9,8,1,2,2,5,11,7,10,5,1,2,3,3,6,-,6,3,2,2,-,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,Q5. Trust in the sources for information/news about Coronavirus used in last week: Advertising,ONLINE Fieldwork: 11th to 13th September 2020,2,10,4,6,5,5,2,*,1,1,1,5,3,1,-,-,-,2,-,2,1,1,-,2,-,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,Q5. Trust in the sources for information/news about Coronavirus used in last week: Advertising,ONLINE Fieldwork: 11th to 13th September 2020,1 - Do not trust at all,11,6,6,4,4,3,1,2,*,2,1,4,3,3,-,-,2,-,2,-,1,1,1,3,*,-,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,Q5. Trust in the sources for information/news about Coronavirus used in last week: Advertising,ONLINE Fieldwork: 11th to 13th September 2020,NET: Do not trust,21,9,12,8,8,6,1,2,1,3,7,7,5,3,-,-,4,-,4,1,3,1,2,3,1,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,Q5. Trust in the sources for information/news about Coronavirus used in last week: Advertising,ONLINE Fieldwork: 11th to 13th September 2020,Mean,2.91,3.12,2.64,2.82,2.73,2.87,3.22,3.16,2.54,2.79,3.17,2.93,2.52,2.9,3.46,4.09,2.73,3.63,2.06,2.89,1.56,2.96,3.32,2.49,2.48,2,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,Q5. Trust in the sources for information/news about Coronavirus used in last week: Advertising,ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,1.16,1.21,1.04,1.16,1.21,1.17,0.99,1.55,0.82,1.3,1.22,1.16,1.06,1.18,0.53,1.03,1.63,0.84,0.92,0.33,0.63,0.81,1.38,1.47,0.87,-,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: Advertising,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,91,46,45,23,18,24,17,12,9,6,26,28,10,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: Advertising,ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,95*,46*,49*,23**,20**,25**,17**,14**,10**,6**,26**,31**,14**,25**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: Advertising,ONLINE Fieldwork: 17th to 19th April 2020,NET: Trust,32,18,14,4,2,7,10,8,2,1,7,11,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: Advertising,ONLINE Fieldwork: 17th to 19th April 2020,5 - Trust completely,10,5,5,2,2,1,3,3,-,1,-,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: Advertising,ONLINE Fieldwork: 17th to 19th April 2020,4,22,13,9,2,-,6,7,5,2,-,7,7,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: Advertising,ONLINE Fieldwork: 17th to 19th April 2020,3,40,17,24,15,14,10,2,6,2,5,12,13,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: Advertising,ONLINE Fieldwork: 17th to 19th April 2020,2,16,5,11,4,3,6,2,1,3,-,5,5,-,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: Advertising,ONLINE Fieldwork: 17th to 19th April 2020,1 - Do not trust at all,7,6,1,1,1,3,2,-,2,-,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: Advertising,ONLINE Fieldwork: 17th to 19th April 2020,NET: Do not trust,23,11,12,5,3,8,4,1,5,-,6,7,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: Advertising,ONLINE Fieldwork: 17th to 19th April 2020,Mean,3.14,3.16,3.12,3.04,3.01,2.89,3.49,3.74,2.52,3.21,3.01,3.16,3.55,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: Advertising,ONLINE Fieldwork: 17th to 19th April 2020,Standard deviation Standard error,1.05,1.17,0.93,0.86,0.85,1.01,1.27,0.9,1.13,0.67,0.81,1.07,1.21,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 45,Q5. Trust in the sources for information/news about Coronavirus used in last week: Advertising,ONLINE Fieldwork: 15th to 17th May 2020,Unweighted base,108,52,56,28,23,25,14,19,8,14,43,17,21,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 45,Q5. Trust in the sources for information/news about Coronavirus used in last week: Advertising,ONLINE Fieldwork: 15th to 17th May 2020,Weighted base,107*,53*,55*,31**,23**,23**,16**,19**,8**,12**,42*,19**,21**,26**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 45,Q5. Trust in the sources for information/news about Coronavirus used in last week: Advertising,ONLINE Fieldwork: 15th to 17th May 2020,NET: Trust,35,18,17,7,4,8,3,10,2,4,14,7,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 45,Q5. Trust in the sources for information/news about Coronavirus used in last week: Advertising,ONLINE Fieldwork: 15th to 17th May 2020,5 - Trust completely,9,3,5,5,2,-,1,1,-,2,4,4,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
