table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 27,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,465,241,224,34,31,56,57,82,85,151,163,128,96,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 27,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,466,243,223,38*,35**,55*,57*,79*,80*,157,155,148,91*,72*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 27,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 9th to 13th April 2020,NET: Trust,362,180,182,29,27,43,44,65,63,117,122,109,72,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 27,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 9th to 13th April 2020,5 - Trust completely,136,64,72,10,10,17,16,22,25,46,35,46,30,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 27,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 9th to 13th April 2020,4,226,116,110,19,17,26,28,43,38,71,87,63,42,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 27,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 9th to 13th April 2020,3,81,45,37,7,7,10,8,14,9,33,26,30,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 27,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 9th to 13th April 2020,2,16,12,4,-,-,1,3,1,6,5,4,8,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 27,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 9th to 13th April 2020,1 - Do not trust at all,7,7,1,1,1,1,1,-,2,2,2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 27,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 9th to 13th April 2020,NET: Do not trust,23,19,4,1,1,2,4,1,8,7,6,9,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 27,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 9th to 13th April 2020,Mean,4,3.9,4.12,3.98,3.98,4.02,3.98,4.09,3.98,3.98,3.96,3.97,4.04,4.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 27,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 9th to 13th April 2020,Standard deviation Standard error,0.86,0.94,0.76,0.88,0.91,0.88,0.91,0.7,0.96,0.87,0.8,0.9,0.93,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,408,226,182,37,32,46,50,76,69,130,147,117,74,70,29,15,35,36,34,38,23,48,43,58,39,10,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,398,222,176,42*,35**,49*,48*,73*,60*,126,143,117*,67*,72*,24**,12**,43*,33*,33*,33*,18**,44*,45*,65*,40*,9**,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 11th to 13th September 2020,NET: Trust,319,172,146,34,27,42,37,59,49,97,123,91,50,55,18,11,37,26,24,24,14,31,40,53,32,9,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 11th to 13th September 2020,5 - Trust completely,115,66,49,16,15,22,10,25,18,24,44,36,19,17,5,2,11,8,10,9,6,12,17,21,10,3,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 11th to 13th September 2020,4,203,106,97,17,12,20,27,34,31,74,79,55,31,38,14,9,25,18,14,15,8,19,23,32,23,6,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 11th to 13th September 2020,3,58,34,24,5,5,6,11,10,7,19,13,20,11,14,4,1,5,7,6,5,4,10,4,6,7,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 11th to 13th September 2020,2,18,13,5,2,2,1,-,3,4,8,4,6,6,2,2,1,-,1,2,3,-,3,1,5,1,-,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 11th to 13th September 2020,1 - Do not trust at all,4,3,1,1,1,1,-,-,-,2,2,1,*,-,-,-,2,-,*,1,-,-,-,-,-,-,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 11th to 13th September 2020,NET: Do not trust,21,16,6,3,3,1,-,3,4,10,7,7,6,2,2,1,2,1,2,4,-,3,1,5,1,-,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 11th to 13th September 2020,Mean,4.03,3.99,4.07,4.12,4.1,4.27,3.99,4.11,4.04,3.86,4.1,4.02,3.92,3.97,3.91,3.97,4.03,3.99,3.96,3.84,4.15,3.92,4.27,4.07,4.01,4.28,4.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,0.84,0.9,0.75,0.94,1.01,0.81,0.67,0.81,0.83,0.86,0.81,0.86,0.92,0.75,0.81,0.71,0.87,0.76,0.94,1.06,0.76,0.88,0.69,0.86,0.75,0.61,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 27,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,405,239,166,43,40,40,57,66,70,129,158,128,45,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 27,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,392,219,173,45*,43*,40*,52*,64*,61*,130,140,118,68*,67*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 27,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 17th to 19th April 2020,NET: Trust,319,174,145,39,38,28,48,47,51,108,112,102,60,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 27,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 17th to 19th April 2020,5 - Trust completely,134,70,64,21,21,11,19,24,23,37,44,44,24,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 27,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 17th to 19th April 2020,4,185,104,81,18,17,17,29,23,28,70,68,58,36,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 27,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 17th to 19th April 2020,3,49,26,24,6,6,9,2,8,8,16,18,14,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 27,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 17th to 19th April 2020,2,17,11,5,-,-,1,1,7,2,5,7,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 27,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 17th to 19th April 2020,1 - Do not trust at all,7,7,-,-,-,2,1,2,*,1,3,*,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 27,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC - Radio,ONLINE Fieldwork: 17th to 19th April 2020,NET: Do not trust,24,19,5,-,-,3,3,9,2,7,10,3,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
