table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 46,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local council  website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,211,90,121,17,16,24,35,38,31,66,63,47,39,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 46,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local council  website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,205,92*,114,18**,17**,22**,33*,36*,30**,68*,57*,51*,39*,59*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 46,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local council  website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,NET: Trust,154,67,88,15,14,16,18,30,27,49,43,38,32,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 46,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local council  website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,5 - Trust completely,66,28,38,6,6,7,7,15,9,21,15,15,14,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 46,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local council  website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,4,89,39,50,8,8,9,11,16,17,28,27,22,17,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 46,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local council  website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,3,44,23,21,3,3,4,11,5,3,18,12,14,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 46,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local council  website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,2,4,-,4,-,-,1,3,1,-,-,1,-,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 46,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local council  website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,1 - Do not trust at all,3,2,1,-,-,1,1,-,-,1,1,-,-,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 46,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local council  website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,NET: Do not trust,7,2,5,-,-,2,4,1,-,1,2,-,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 46,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local council  website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,Mean,4.02,3.99,4.05,4.18,4.15,3.9,3.62,4.24,4.22,4.01,3.96,4.04,4.15,3.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 46,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local council  website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,Standard deviation Standard error,0.86,0.87,0.86,0.74,0.73,1.09,1.02,0.76,0.61,0.84,0.86,0.76,0.81,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 70,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local council  website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,179,74,105,12,11,21,23,33,31,59,50,50,35,44,17,10,21,18,19,10,11,12,24,23,11,3,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 70,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local council  website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,176,73*,103*,13**,11**,20**,17**,33**,31**,63*,47*,50*,36*,44*,14**,11**,25**,19**,19**,10**,10**,12**,24**,20**,9**,3**,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 70,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local council  website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,NET: Trust,144,59,85,12,11,14,12,26,24,56,40,42,24,38,11,10,22,17,15,9,8,11,17,16,8,-,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 70,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local council  website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,5 - Trust completely,53,28,26,4,3,3,3,9,11,23,18,13,7,15,6,1,7,5,4,3,4,6,3,10,4,-,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 70,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local council  website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,4,91,31,60,8,8,11,9,18,13,33,22,29,17,23,6,9,15,12,11,6,4,5,14,6,4,-,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 70,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local council  website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,3,26,13,13,1,1,5,4,6,4,6,6,6,10,4,3,1,3,1,3,1,1,1,6,4,1,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 70,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local council  website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,2,4,1,3,-,-,1,-,1,1,1,1,1,1,1,-,-,-,1,1,-,-,-,1,-,1,-,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 70,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local council  website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,1 - Do not trust at all,2,-,2,-,-,-,1,-,1,-,-,1,-,1,-,-,-,-,-,-,-,-,1,-,-,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 70,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local council  website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,NET: Do not trust,6,1,5,-,-,1,1,1,2,1,1,2,1,2,-,-,-,1,1,-,-,-,2,-,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 70,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local council  website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,Mean,4.07,4.16,4.02,4.29,4.2,3.8,3.71,4.05,4.05,4.24,4.22,4.03,3.84,4.15,4.21,3.97,4.15,4.09,3.92,4.23,4.33,4.45,3.68,4.29,4.23,2.12,4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 70,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local council  website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,0.8,0.78,0.82,0.56,0.53,0.8,0.99,0.72,1.01,0.68,0.76,0.8,0.8,0.84,0.76,0.5,0.64,0.76,0.83,0.63,0.73,0.65,0.9,0.8,0.89,1.27,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 46,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local council  website/email/text/post,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,194,94,100,12,10,22,36,39,32,53,60,57,31,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 46,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local council  website/email/text/post,ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,197,90*,107*,12**,10**,25**,30**,42**,32**,55*,61*,52*,45**,40*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 46,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local council  website/email/text/post,ONLINE Fieldwork: 17th to 19th April 2020,NET: Trust,155,70,85,6,5,22,24,32,28,43,46,45,36,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 46,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local council  website/email/text/post,ONLINE Fieldwork: 17th to 19th April 2020,5 - Trust completely,43,18,25,3,2,7,8,7,5,13,14,10,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 46,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local council  website/email/text/post,ONLINE Fieldwork: 17th to 19th April 2020,4,112,52,60,3,3,15,16,25,23,30,32,35,28,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 46,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local council  website/email/text/post,ONLINE Fieldwork: 17th to 19th April 2020,3,37,19,18,5,4,3,4,9,3,12,13,4,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
