table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A)
Table 93,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct Mail, e.g. leaflets or other types of information that you get through the letterbox",ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,63,41,22,5,4,9,12,5,11,21,25,12,10,16,8,1,5,4,3,2,1,10,12,13,4,-,54
Table 93,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct Mail, e.g. leaflets or other types of information that you get through the letterbox",ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,65*,43*,22**,6**,4**,9**,15**,6**,12**,18**,24**,12**,14**,14**,7**,1**,4**,5**,3**,2**,1**,9**,12**,17**,3**,-**,57*
Table 93,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct Mail, e.g. leaflets or other types of information that you get through the letterbox",ONLINE Fieldwork: 5th to 11th April 2021,NET: Trust,32,20,12,1,1,5,6,4,7,9,12,7,6,7,5,-,3,2,2,-,-,5,5,9,2,-,26
Table 93,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct Mail, e.g. leaflets or other types of information that you get through the letterbox",ONLINE Fieldwork: 5th to 11th April 2021,5 - Trust completely,4,1,3,1,1,2,-,1,1,-,1,1,1,1,-,-,2,-,-,-,-,-,1,1,-,-,4
Table 93,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct Mail, e.g. leaflets or other types of information that you get through the letterbox",ONLINE Fieldwork: 5th to 11th April 2021,4,27,18,9,-,-,3,6,4,6,9,10,6,5,7,5,-,1,2,2,-,-,5,4,7,2,-,22
Table 93,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct Mail, e.g. leaflets or other types of information that you get through the letterbox",ONLINE Fieldwork: 5th to 11th April 2021,3,26,21,5,4,3,2,8,1,5,6,10,5,6,5,1,1,1,3,-,2,1,4,7,5,1,-,25
Table 93,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct Mail, e.g. leaflets or other types of information that you get through the letterbox",ONLINE Fieldwork: 5th to 11th April 2021,2,4,2,2,1,1,-,1,-,-,2,3,-,-,1,1,-,-,-,1,1,-,-,-,1,-,-,3
Table 93,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct Mail, e.g. leaflets or other types of information that you get through the letterbox",ONLINE Fieldwork: 5th to 11th April 2021,1 - Do not trust at all,3,-,3,-,-,3,-,-,-,1,-,1,2,*,-,-,1,-,-,-,-,-,-,2,*,-,3
Table 93,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct Mail, e.g. leaflets or other types of information that you get through the letterbox",ONLINE Fieldwork: 5th to 11th April 2021,NET: Do not trust,7,2,5,1,1,3,1,-,-,3,3,1,2,2,1,-,1,-,1,1,-,-,-,3,*,-,6
Table 93,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct Mail, e.g. leaflets or other types of information that you get through the letterbox",ONLINE Fieldwork: 5th to 11th April 2021,Mean,3.38,3.44,3.28,3.05,3.06,3.19,3.38,3.85,3.65,3.26,3.43,3.45,3.21,3.41,3.52,3,3.53,3.38,3.34,2.74,3,3.52,3.53,3.28,3.23,-,3.37
Table 93,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct Mail, e.g. leaflets or other types of information that you get through the letterbox",ONLINE Fieldwork: 5th to 11th April 2021,Standard deviation Standard error,0.91,0.65,1.27,0.86,1.02,1.62,0.58,0.63,0.64,0.9,0.77,0.91,1.16,0.92,0.87,-,1.65,0.54,1.16,0.6,-,0.53,0.73,1.13,1.32,-,0.92
Table 93,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct Mail, e.g. leaflets or other types of information that you get through the letterbox",ONLINE Fieldwork: 12th to 14th March 2021,Unweighted base,71,44,27,8,8,12,11,7,17,16,33,10,15,13,5,4,6,5,5,4,3,10,12,9,7,1,62
Table 93,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct Mail, e.g. leaflets or other types of information that you get through the letterbox",ONLINE Fieldwork: 12th to 14th March 2021,Weighted base,74*,50*,25**,11**,11**,13**,13**,7**,15**,15**,36**,9**,14**,14**,5**,4**,7**,6**,7**,4**,5**,8**,13**,9**,7**,1**,63*
Table 93,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct Mail, e.g. leaflets or other types of information that you get through the letterbox",ONLINE Fieldwork: 12th to 14th March 2021,NET: Trust,37,26,11,8,8,6,4,2,5,11,18,6,4,10,1,3,1,3,4,1,2,4,7,8,3,1,33
Table 93,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct Mail, e.g. leaflets or other types of information that you get through the letterbox",ONLINE Fieldwork: 12th to 14th March 2021,5 - Trust completely,8,6,2,1,1,-,3,-,2,2,2,3,-,3,-,1,-,1,2,1,-,2,1,-,1,-,8
Table 93,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct Mail, e.g. leaflets or other types of information that you get through the letterbox",ONLINE Fieldwork: 12th to 14th March 2021,4,29,20,9,7,7,6,1,2,4,9,16,3,4,7,1,2,1,2,2,-,2,2,6,8,2,1,25
Table 93,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct Mail, e.g. leaflets or other types of information that you get through the letterbox",ONLINE Fieldwork: 12th to 14th March 2021,3,25,16,9,2,2,1,8,5,5,3,10,3,8,5,3,1,4,2,1,3,-,2,3,1,3,-,21
Table 93,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct Mail, e.g. leaflets or other types of information that you get through the letterbox",ONLINE Fieldwork: 12th to 14th March 2021,2,13,8,5,1,1,6,1,-,4,1,9,1,3,-,1,-,1,1,1,-,3,2,2,*,1,-,9
Table 93,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct Mail, e.g. leaflets or other types of information that you get through the letterbox",ONLINE Fieldwork: 12th to 14th March 2021,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Table 93,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct Mail, e.g. leaflets or other types of information that you get through the letterbox",ONLINE Fieldwork: 12th to 14th March 2021,NET: Do not trust,13,8,5,1,1,6,1,-,4,1,9,1,3,-,1,-,1,1,1,-,3,2,2,*,1,-,9
Table 93,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct Mail, e.g. leaflets or other types of information that you get through the letterbox",ONLINE Fieldwork: 12th to 14th March 2021,Mean,3.43,3.47,3.36,3.74,3.74,3.05,3.48,3.34,3.2,3.8,3.32,3.76,3.04,3.89,2.99,3.88,2.99,3.35,3.72,3.38,2.94,3.54,3.49,3.82,3.39,4,3.5
Table 93,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct Mail, e.g. leaflets or other types of information that you get through the letterbox",ONLINE Fieldwork: 12th to 14th March 2021,Standard deviation Standard error,0.9,0.9,0.91,0.8,0.8,0.98,0.94,0.51,1.02,0.78,0.92,1.01,0.71,0.75,0.66,0.8,0.69,1.02,1.2,0.92,1.11,1.13,0.89,0.52,0.98,-,0.89
Table 93,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct Mail, e.g. leaflets or other types of information that you get through the letterbox",ONLINE Fieldwork: 4th to 6th June 2021,Unweighted base,37,18,19,4,4,7,9,10,1,6,13,12,3,9,4,-,3,4,1,1,1,3,11,4,5,-,32
Table 93,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct Mail, e.g. leaflets or other types of information that you get through the letterbox",ONLINE Fieldwork: 4th to 6th June 2021,Weighted base,34*,16**,18**,3**,3**,6**,11**,7**,1**,6**,12**,10**,3**,9**,3**,-**,2**,3**,1**,1**,1**,3**,12**,4**,3**,-**,30**
Table 93,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct Mail, e.g. leaflets or other types of information that you get through the letterbox",ONLINE Fieldwork: 4th to 6th June 2021,NET: Trust,20,10,9,1,1,5,6,5,1,1,8,4,2,7,1,-,1,1,1,-,-,1,10,2,3,-,19
Table 93,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct Mail, e.g. leaflets or other types of information that you get through the letterbox",ONLINE Fieldwork: 4th to 6th June 2021,5 - Trust completely,8,3,5,-,-,1,2,3,-,1,2,2,2,2,-,-,-,-,-,-,-,-,5,2,1,-,8
Table 93,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct Mail, e.g. leaflets or other types of information that you get through the letterbox",ONLINE Fieldwork: 4th to 6th June 2021,4,12,7,5,1,1,4,4,2,1,-,6,1,-,4,1,-,1,1,1,-,-,1,5,1,1,-,11
Table 93,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct Mail, e.g. leaflets or other types of information that you get through the letterbox",ONLINE Fieldwork: 4th to 6th June 2021,3,9,1,7,2,2,-,3,2,-,2,3,5,-,1,*,-,1,1,-,1,-,2,2,1,-,-,8
Table 93,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct Mail, e.g. leaflets or other types of information that you get through the letterbox",ONLINE Fieldwork: 4th to 6th June 2021,2,4,3,1,-,-,1,*,*,-,2,1,2,1,-,1,-,-,*,-,-,1,-,1,-,*,-,2
Table 93,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct Mail, e.g. leaflets or other types of information that you get through the letterbox",ONLINE Fieldwork: 4th to 6th June 2021,1 - Do not trust at all,2,1,1,-,-,-,1,-,-,1,-,-,1,1,-,-,-,1,-,-,-,-,-,1,-,-,2
Table 93,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct Mail, e.g. leaflets or other types of information that you get through the letterbox",ONLINE Fieldwork: 4th to 6th June 2021,NET: Do not trust,6,5,2,-,-,1,1,*,-,4,1,2,2,1,1,-,-,2,-,-,1,-,1,1,*,-,4
Table 93,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct Mail, e.g. leaflets or other types of information that you get through the letterbox",ONLINE Fieldwork: 4th to 6th June 2021,Mean,3.57,3.51,3.63,3.41,3.41,4.01,3.6,4.11,4,2.5,3.69,3.43,3.08,3.77,2.89,-,3.39,2.34,4,3,2,3.47,4.16,3.45,4.08,-,3.69
Table 93,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct Mail, e.g. leaflets or other types of information that you get through the letterbox",ONLINE Fieldwork: 4th to 6th June 2021,Standard deviation Standard error,1.16,1.27,1.08,0.59,0.59,0.9,1.18,1.03,-,1.28,0.9,1.05,2.09,1.32,1.14,-,0.68,1.34,-,-,-,0.62,0.91,1.66,1.2,-,1.13
