table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A)
Table 94,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Flyers, e.g. leaflets that you may be given or find when out and about",ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,36,21,15,6,5,10,2,4,6,8,11,4,5,16,3,-,4,4,4,1,-,6,9,4,1,-,33
Table 94,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Flyers, e.g. leaflets that you may be given or find when out and about",ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,39*,23**,16**,7**,6**,11**,2**,6**,6**,8**,13**,5**,7**,15**,3**,-**,4**,5**,6**,1**,-**,5**,9**,5**,2**,-**,37**
Table 94,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Flyers, e.g. leaflets that you may be given or find when out and about",ONLINE Fieldwork: 5th to 11th April 2021,NET: Trust,15,9,6,4,4,6,-,2,3,*,6,-,5,4,1,-,2,2,4,-,-,1,3,2,-,-,14
Table 94,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Flyers, e.g. leaflets that you may be given or find when out and about",ONLINE Fieldwork: 5th to 11th April 2021,5 - Trust completely,4,3,1,1,1,3,-,-,-,-,3,-,1,-,-,-,1,-,-,-,-,-,2,1,-,-,4
Table 94,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Flyers, e.g. leaflets that you may be given or find when out and about",ONLINE Fieldwork: 5th to 11th April 2021,4,11,6,5,3,3,3,-,2,3,*,3,-,4,4,1,-,1,2,4,-,-,1,1,1,-,-,10
Table 94,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Flyers, e.g. leaflets that you may be given or find when out and about",ONLINE Fieldwork: 5th to 11th April 2021,3,20,11,9,1,1,6,1,4,3,5,4,3,1,12,2,-,2,4,3,-,-,3,5,-,2,-,18
Table 94,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Flyers, e.g. leaflets that you may be given or find when out and about",ONLINE Fieldwork: 5th to 11th April 2021,2,4,4,-,-,-,-,1,-,-,3,3,1,-,-,-,-,-,-,-,-,-,-,1,3,-,-,4
Table 94,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Flyers, e.g. leaflets that you may be given or find when out and about",ONLINE Fieldwork: 5th to 11th April 2021,1 - Do not trust at all,1,-,1,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1
Table 94,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Flyers, e.g. leaflets that you may be given or find when out and about",ONLINE Fieldwork: 5th to 11th April 2021,NET: Do not trust,5,4,1,1,1,-,1,-,-,3,3,2,-,-,-,-,-,-,-,1,-,-,1,3,-,-,5
Table 94,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Flyers, e.g. leaflets that you may be given or find when out and about",ONLINE Fieldwork: 5th to 11th April 2021,Mean,3.34,3.34,3.34,3.5,3.54,3.77,2.45,3.31,3.46,2.71,3.48,2.35,3.98,3.24,3.39,-,3.7,3.34,3.59,1,-,3.27,3.4,3.17,3,-,3.33
Table 94,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Flyers, e.g. leaflets that you may be given or find when out and about",ONLINE Fieldwork: 5th to 11th April 2021,Standard deviation Standard error,0.88,0.9,0.89,1.3,1.35,0.89,-,0.51,0.55,0.57,1.09,0.91,0.68,0.44,0.63,-,0.95,0.52,0.53,-,-,0.5,0.99,1.51,-,-,0.91
Table 94,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Flyers, e.g. leaflets that you may be given or find when out and about",ONLINE Fieldwork: 12th to 14th March 2021,Unweighted base,34,19,15,7,7,7,8,3,4,5,11,13,4,6,3,-,6,2,3,1,1,-,10,5,2,1,29
Table 94,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Flyers, e.g. leaflets that you may be given or find when out and about",ONLINE Fieldwork: 12th to 14th March 2021,Weighted base,41**,24**,16**,14**,14**,6**,9**,2**,4**,5**,12**,15**,4**,10**,4**,-**,10**,2**,4**,1**,1**,-**,10**,6**,3**,1**,35**
Table 94,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Flyers, e.g. leaflets that you may be given or find when out and about",ONLINE Fieldwork: 12th to 14th March 2021,NET: Trust,14,8,6,9,9,1,1,-,2,2,3,6,-,6,2,-,4,1,-,-,-,-,*,4,2,1,12
Table 94,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Flyers, e.g. leaflets that you may be given or find when out and about",ONLINE Fieldwork: 12th to 14th March 2021,5 - Trust completely,*,*,-,-,-,-,*,-,-,-,-,*,-,-,-,-,-,-,-,-,-,-,*,-,-,-,*
