table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 49,Q5. Trust in the sources for information/news about Coronavirus used in last week: Instagram,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,140,65,75,68,56,41,19,7,3,2,53,43,20,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 49,Q5. Trust in the sources for information/news about Coronavirus used in last week: Instagram,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,148,70*,78*,78*,63*,43*,16**,7**,3**,2**,52*,53*,20**,23**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 49,Q5. Trust in the sources for information/news about Coronavirus used in last week: Instagram,ONLINE Fieldwork: 9th to 13th April 2020,NET: Trust,28,16,11,10,9,14,2,1,-,1,11,7,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 49,Q5. Trust in the sources for information/news about Coronavirus used in last week: Instagram,ONLINE Fieldwork: 9th to 13th April 2020,5 - Trust completely,5,4,1,1,1,3,1,-,-,-,2,-,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 49,Q5. Trust in the sources for information/news about Coronavirus used in last week: Instagram,ONLINE Fieldwork: 9th to 13th April 2020,4,23,12,11,9,8,11,1,1,-,1,9,7,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 49,Q5. Trust in the sources for information/news about Coronavirus used in last week: Instagram,ONLINE Fieldwork: 9th to 13th April 2020,3,60,26,34,39,32,12,5,2,1,-,20,21,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 49,Q5. Trust in the sources for information/news about Coronavirus used in last week: Instagram,ONLINE Fieldwork: 9th to 13th April 2020,2,50,24,26,26,20,11,8,3,1,1,17,22,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 49,Q5. Trust in the sources for information/news about Coronavirus used in last week: Instagram,ONLINE Fieldwork: 9th to 13th April 2020,1 - Do not trust at all,11,3,7,3,2,6,1,-,1,-,3,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 49,Q5. Trust in the sources for information/news about Coronavirus used in last week: Instagram,ONLINE Fieldwork: 9th to 13th April 2020,NET: Do not trust,61,28,33,29,22,17,9,3,2,1,20,25,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 49,Q5. Trust in the sources for information/news about Coronavirus used in last week: Instagram,ONLINE Fieldwork: 9th to 13th April 2020,Mean,2.74,2.85,2.63,2.73,2.79,2.86,2.58,2.73,1.93,2.79,2.83,2.6,2.72,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 49,Q5. Trust in the sources for information/news about Coronavirus used in last week: Instagram,ONLINE Fieldwork: 9th to 13th April 2020,Standard deviation Standard error,0.92,0.98,0.86,0.78,0.78,1.16,0.88,0.81,1.13,-,0.95,0.8,0.95,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 73,Q5. Trust in the sources for information/news about Coronavirus used in last week: Instagram,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,135,64,71,51,45,39,26,8,7,4,44,45,21,25,10,4,14,4,23,9,5,11,27,14,11,3,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 73,Q5. Trust in the sources for information/news about Coronavirus used in last week: Instagram,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,140,67*,73*,59*,51*,38*,22**,11**,6**,4**,47*,44*,20**,30**,13**,5**,16**,3**,23**,9**,6**,9**,29**,13**,12**,3**,119*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 73,Q5. Trust in the sources for information/news about Coronavirus used in last week: Instagram,ONLINE Fieldwork: 11th to 13th September 2020,NET: Trust,40,24,16,15,15,11,9,6,-,-,11,12,6,12,3,4,3,-,5,3,1,2,12,5,1,-,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 73,Q5. Trust in the sources for information/news about Coronavirus used in last week: Instagram,ONLINE Fieldwork: 11th to 13th September 2020,5 - Trust completely,13,8,5,8,8,4,1,-,-,-,4,3,1,5,-,2,-,-,1,3,1,1,2,2,-,-,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 73,Q5. Trust in the sources for information/news about Coronavirus used in last week: Instagram,ONLINE Fieldwork: 11th to 13th September 2020,4,28,16,11,7,7,8,7,6,-,-,7,9,5,7,3,2,3,-,4,1,-,1,10,3,1,-,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 73,Q5. Trust in the sources for information/news about Coronavirus used in last week: Instagram,ONLINE Fieldwork: 11th to 13th September 2020,3,53,19,34,23,18,16,8,2,4,1,16,17,7,13,3,1,5,2,11,1,1,6,10,5,7,1,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 73,Q5. Trust in the sources for information/news about Coronavirus used in last week: Instagram,ONLINE Fieldwork: 11th to 13th September 2020,2,33,15,17,16,13,5,5,2,3,2,14,12,2,4,3,-,8,1,4,5,1,*,4,3,1,2,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 73,Q5. Trust in the sources for information/news about Coronavirus used in last week: Instagram,ONLINE Fieldwork: 11th to 13th September 2020,1 - Do not trust at all,14,8,5,6,6,5,-,1,-,1,5,2,5,1,3,-,-,-,1,-,2,1,2,-,4,-,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 73,Q5. Trust in the sources for information/news about Coronavirus used in last week: Instagram,ONLINE Fieldwork: 11th to 13th September 2020,NET: Do not trust,46,24,23,22,19,10,5,3,3,4,19,14,7,5,6,-,8,1,6,5,3,1,6,3,5,2,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
