table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,29,13,16,5,4,4,3,3,3,11,2,6,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,30**,15**,15**,7**,5**,4**,3**,3**,3**,11**,2**,9**,9**,10**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 9th to 13th April 2020,NET: Trust,22,10,12,6,5,4,1,2,3,7,1,7,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 9th to 13th April 2020,5 - Trust completely,5,2,3,2,2,-,-,-,2,1,-,2,-,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 9th to 13th April 2020,4,18,8,9,4,3,4,1,2,1,5,1,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 9th to 13th April 2020,3,7,4,3,1,1,-,1,1,-,4,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 9th to 13th April 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 9th to 13th April 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 9th to 13th April 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 32,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV Wales,ONLINE Fieldwork: 9th to 13th April 2020,Mean,3.9,3.81,3.99,4.13,4.15,4,3.56,3.56,4.61,3.75,3.54,4.04,3.67,4.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
