table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,299,159,140,22,19,16,22,45,54,140,94,73,56,76,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,297,162,135,24**,20**,17**,21**,42*,52*,141,88*,86*,54*,69*,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 9th to 13th April 2020,NET: Trust,163,85,78,14,11,8,10,21,30,80,44,50,21,48,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 9th to 13th April 2020,5 - Trust completely,39,20,19,2,2,5,3,4,7,17,6,11,5,17,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 9th to 13th April 2020,4,125,65,59,12,9,4,7,16,23,63,38,40,16,31,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 9th to 13th April 2020,3,103,57,46,6,4,5,7,17,19,49,33,29,23,19,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 9th to 13th April 2020,2,26,17,9,3,3,3,2,4,2,12,11,6,8,1,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 9th to 13th April 2020,1 - Do not trust at all,4,2,1,1,1,1,1,-,1,-,-,1,2,1,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 9th to 13th April 2020,NET: Do not trust,30,20,11,5,5,4,4,4,3,12,11,7,10,3,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 9th to 13th April 2020,Mean,3.57,3.51,3.63,3.42,3.37,3.52,3.43,3.51,3.65,3.61,3.43,3.63,3.27,3.89,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 9th to 13th April 2020,Standard deviation Standard error,0.87,0.89,0.85,1.04,1.11,1.21,1.07,0.81,0.83,0.81,0.8,0.82,0.96,0.86,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,270,150,120,8,8,19,28,41,52,122,89,77,38,66,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,278,149,129*,11**,11**,22**,28**,43**,52*,123,77*,79*,57*,65*,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 17th to 19th April 2020,NET: Trust,157,88,69,6,6,15,13,19,26,78,52,43,33,29,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 17th to 19th April 2020,5 - Trust completely,32,19,13,-,-,1,3,4,6,18,7,10,8,7,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 17th to 19th April 2020,4,125,69,56,6,6,14,9,15,20,60,45,33,25,22,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 17th to 19th April 2020,3,89,37,53,4,4,7,7,16,20,36,19,26,16,28,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 17th to 19th April 2020,2,27,19,8,1,1,1,5,6,5,9,5,8,8,5,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 17th to 19th April 2020,1 - Do not trust at all,6,6,-,-,-,-,3,3,*,-,1,1,-,3,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 17th to 19th April 2020,NET: Do not trust,32,24,8,1,1,1,8,8,6,9,6,9,8,8,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 17th to 19th April 2020,Mean,3.54,3.52,3.57,3.49,3.49,3.67,3.2,3.28,3.5,3.71,3.66,3.55,3.57,3.38,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 17th to 19th April 2020,Standard deviation Standard error,0.89,1,0.76,0.69,0.69,0.64,1.18,1.01,0.86,0.81,0.8,0.9,0.91,0.96,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 3rd to 5th April 2020,Unweighted base,324,172,152,16,14,25,26,47,68,142,89,80,69,86,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 3rd to 5th April 2020,Weighted base,312,164,148,19**,16**,26**,30**,49*,60*,129,96*,78*,65*,74*,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 3rd to 5th April 2020,NET: Trust,181,89,92,5,5,15,13,26,38,83,56,43,40,43,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 3rd to 5th April 2020,5 - Trust completely,54,26,28,2,2,5,4,8,8,26,18,12,11,13,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 3rd to 5th April 2020,4,127,63,64,3,3,10,9,17,30,57,38,30,29,29,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 3rd to 5th April 2020,3,111,62,49,9,8,8,12,20,17,44,34,27,24,25,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 3rd to 5th April 2020,2,17,9,8,4,4,2,4,3,2,2,3,7,1,5,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 3rd to 5th April 2020,1 - Do not trust at all,4,4,-,1,-,-,-,-,2,1,2,1,-,1,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 3rd to 5th April 2020,NET: Do not trust,21,13,8,5,4,2,4,3,4,2,6,8,1,6,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 3rd to 5th April 2020,Mean,3.67,3.6,3.76,3.03,3.21,3.7,3.45,3.64,3.68,3.82,3.68,3.6,3.76,3.67,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 3rd to 5th April 2020,Standard deviation Standard error,0.87,0.91,0.82,1.08,0.96,0.91,0.93,0.83,0.88,0.78,0.9,0.9,0.76,0.9,,,,,,
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 27th to 29th March 2020,Unweighted base,365,198,167,,,,,,,,143,97,47,78,14,35,38,53,60,165
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 27th to 29th March 2020,Weighted base,379,207,172,,,,,,,,113,106*,67*,94*,19**,33*,45**,57*,55*,171
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 27th to 29th March 2020,NET: Trust,208,112,96,,,,,,,,62,63,33,50,7,13,20,27,34,106
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 27th to 29th March 2020,5 - Trust completely,47,24,23,,,,,,,,14,10,8,15,4,2,4,7,7,23
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 27th to 29th March 2020,4,161,88,73,,,,,,,,47,53,25,35,3,11,16,20,26,83
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 27th to 29th March 2020,3,147,81,66,,,,,,,,44,35,27,41,9,14,21,26,19,56
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 27th to 29th March 2020,2,20,12,8,,,,,,,,6,6,7,2,2,4,3,3,1,8
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 27th to 29th March 2020,1 - Do not trust at all,5,2,3,,,,,,,,1,2,-,1,1,1,1,-,1,1
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 27th to 29th March 2020,NET: Do not trust,25,15,10,,,,,,,,8,8,7,3,3,5,3,3,2,9
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 27th to 29th March 2020,Mean,3.59,3.57,3.62,,,,,,,,3.6,3.6,3.5,3.65,3.38,3.27,3.44,3.55,3.7,3.7
Table 36,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (printed),ONLINE Fieldwork: 27th to 29th March 2020,Standard deviation Standard error,0.82,0.81,0.83,,,,,,,,0.83,0.83,0.83,0.81,1.08,0.93,0.79,0.79,0.77,0.78
