table,question,date,response,BBC - TV,BBC - Radio,BBC Online/ app,ITV,STV,UTV,ITV Wales,Channel 4,Channel 5,Sky,Newspapers (printed),Newspapers (online),Advertising,Commercial Radio,Podcasts,Direct from World Health Organisatio n (WHO) website/ email/text/ post,Direct from NHS website/ email/text/ post,Direct from Government website/ email/text/ post,Official scientists,Direct from Local health service website/ email/text/ post,Direct from Local council website/ email/text/ post,Facebook,Twitter,Instagram,Snapchat,YouTube,WhatsApp,WhatsApp group(s),Facebook messenger,Apple iMessage,Search engine (e.g. Google),"Websites/ apps of online news organisatio ns like Buzzfeed, Huffington Post, Vice, etc.",Websites or apps that bring together news from different news providers,"Nonmainstream news sources such as Russia Today, Breitbart, Swawkbox etc",Email,"Smart speaker (e.g. Amazon Echo, Google Home)",Family and friends directly,People in your local area/ neighbourho od,Other 1,Other 2,Other 3,BBC Alba,S4C,RTÉ,"""Broadsheet s"" such as The Times or Guardian ( printed )","""Mid-market tabloids"" such as The Daily Mail or Daily Express ( printed )","""Red-top tabloids"" such as The Sun or Daily Mirror ( printed )","""Broadsheet s"" such as The Times or Guardian ( online )","""Mid-market tabloids"" such as MailOnline or Express ( online )","""Red-top tabloids"" such as The Sun or Mirror ( online )",Magazines,Cool FM,Community Radio,Direct from UK Government website/ email/text/ post,Direct from Scotland Government website/ email/text/ post,Direct from Wales Government website/ email/text/ post,Direct from Northern Ireland Government website/ email/text/ post,Celebrity and/or social media influencer,"“Broadsheet s"" such as The Times or Guardian ( printed )","""Mid-market tabloids” such as MailOnline or Express ( online )","Local sources across TV, radio and online","Nonmainstream news sources such as Russia Today, Breitbart, Swawkbox, Infowars, Rebel Media etc","Smart speaker/ display (e.g. Amazon Echo, Google Home)","Direct Mail, e.g. leaflets or other types of information that you get through the letterbox","Flyers, e.g. leaflets that you may be given or find when out and about","Stickers, e.g. on lamp posts or other places in your neighbourho od"
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,1415,465,621,694,56,38,29,357,140,517,299,641,122,267,70,182,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,1413,466,626,694,64,41,30,357,141,517,297,629,122,268,67,184,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,NET: Trust,1048,362,478,528,56,30,22,272,91,370,163,285,56,149,37,154,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,5 - Trust completely,399,136,175,179,23,15,5,89,27,116,39,47,21,39,8,88,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,4,649,226,303,349,33,15,18,182,64,254,125,238,36,111,29,65,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,3,284,81,122,140,8,11,7,78,44,120,103,244,35,97,18,24,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,2,54,16,18,21,-,-,-,2,5,21,26,77,24,16,9,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,1 - Do not trust at all,28,7,9,5,-,-,-,5,1,5,4,23,7,4,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,NET: Do not trust,82,23,26,25,-,-,-,7,6,26,30,100,31,21,11,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,Mean,3.95,4,3.99,3.98,4.23,4.11,3.9,3.98,3.79,3.88,3.57,3.33,3.31,3.61,3.48,4.26,4.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,Standard deviation Standard error,0.9,0.86,0.84,0.8,0.66,0.8,0.64,0.78,0.82,0.83,0.87,0.92,1.14,0.87,0.98,0.88,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,,,,,,,,,,,,,,,,,,629,169,171,211,585,278,140,63,202,142,129,120,28,357,278,357,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,,,,,,,,,,,,,,,,,,630,169,166,205,581,287,148,72,204,138,126,113,28,352,273,353,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,NET: Trust,,,,,,,,,,,,,,,,,,511,147,146,154,83,64,28,12,78,33,38,26,10,155,95,127,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25,Q5. Trust in the sources for information/news about Coronavirus used in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,5 - Trust completely,,,,,,,,,,,,,,,,,,272,74,74,66,9,7,5,2,12,8,9,9,3,31,9,21,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
