table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 68,Q7. Ways of sharing information/news in last week,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,2105,1010,1095,265,234,336,342,379,317,466,600,510,448,547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q7. Ways of sharing information/news in last week,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,2106,1029,1077,292,256,347,325,362,305,475,573,596,427,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q7. Ways of sharing information/news in last week,ONLINE Fieldwork: 9th to 13th April 2020,"Talked to family, friends and colleagues in person or by phone",1542,708,834,211,179,230,246,253,226,375,430,450,309,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q7. Ways of sharing information/news in last week,ONLINE Fieldwork: 9th to 13th April 2020,"Writing on closed messenger groups, such as WhatsApp, Teams, Zoom etc",533,248,285,104,98,144,104,59,57,64,175,168,96,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q7. Ways of sharing information/news in last week,ONLINE Fieldwork: 9th to 13th April 2020,Via social media posts,427,209,218,68,59,78,68,80,51,83,111,112,87,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q7. Ways of sharing information/news in last week,ONLINE Fieldwork: 9th to 13th April 2020,"Talking by video via closed messenger groups, such as WhatsApp, Teams, Zoom etc",417,193,224,73,67,103,76,51,45,69,140,127,81,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q7. Ways of sharing information/news in last week,ONLINE Fieldwork: 9th to 13th April 2020,Other,21,10,11,-,-,-,3,3,5,11,5,9,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q7. Ways of sharing information/news in last week,ONLINE Fieldwork: 9th to 13th April 2020,I have not shared any information/news about Coronavirus,373,214,159,42,38,68,58,70,56,79,89,97,82,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Q7. Ways of sharing information/news in last week,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2058,992,1066,257,228,350,317,362,323,449,570,574,450,464,186,87,209,169,177,162,112,186,262,266,179,63,1697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Q7. Ways of sharing information/news in last week,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2056,1010,1045,286,248,338,314,353,297,468,561,581,416,497,171,83*,228,167,179,148,98*,193,269,280,177,62*,1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Q7. Ways of sharing information/news in last week,ONLINE Fieldwork: 11th to 13th September 2020,"Talked to family, friends and colleagues in person or by phone",1433,657,776,188,162,219,223,239,217,347,399,408,276,351,122,58,168,111,133,96,76,121,167,194,138,51,1185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Q7. Ways of sharing information/news in last week,ONLINE Fieldwork: 11th to 13th September 2020,"Writing on closed messenger groups, such as WhatsApp, Teams, Zoom etc",298,153,145,60,54,79,65,35,28,32,120,93,46,39,29,9,31,19,31,22,22,15,47,37,26,9,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Q7. Ways of sharing information/news in last week,ONLINE Fieldwork: 11th to 13th September 2020,Via social media posts,268,140,128,47,45,50,66,37,34,33,83,67,48,71,29,8,21,19,34,15,15,26,46,31,15,8,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Q7. Ways of sharing information/news in last week,ONLINE Fieldwork: 11th to 13th September 2020,"Talking by video via closed messenger groups, such as WhatsApp, Teams, Zoom etc",180,109,72,32,30,37,36,20,19,35,73,51,27,31,16,7,19,12,18,15,13,12,28,17,16,8,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Q7. Ways of sharing information/news in last week,ONLINE Fieldwork: 11th to 13th September 2020,Other,10,8,1,3,3,1,3,*,1,2,3,3,-,4,1,-,-,1,-,-,3,1,3,-,1,-,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
