table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 104,To which of the following religious groups do you consider yourself to be a member of?,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,2127,1021,1106,267,236,343,347,383,319,468,606,513,453,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 104,To which of the following religious groups do you consider yourself to be a member of?,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,2127,1040,1087,294,258,355,329,366,306,477,578,600,432,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 104,To which of the following religious groups do you consider yourself to be a member of?,ONLINE Fieldwork: 9th to 13th April 2020,Christian,983,469,514,83,75,89,112,183,190,326,264,288,206,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 104,To which of the following religious groups do you consider yourself to be a member of?,ONLINE Fieldwork: 9th to 13th April 2020,NET: Other,139,68,70,39,35,39,23,10,14,13,49,30,26,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 104,To which of the following religious groups do you consider yourself to be a member of?,ONLINE Fieldwork: 9th to 13th April 2020,Muslim,53,27,26,18,18,20,10,1,2,2,16,12,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 104,To which of the following religious groups do you consider yourself to be a member of?,ONLINE Fieldwork: 9th to 13th April 2020,Hindu,21,9,12,4,2,6,4,2,3,2,11,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 104,To which of the following religious groups do you consider yourself to be a member of?,ONLINE Fieldwork: 9th to 13th April 2020,Jewish,7,6,1,1,1,-,-,1,1,4,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 104,To which of the following religious groups do you consider yourself to be a member of?,ONLINE Fieldwork: 9th to 13th April 2020,Sikh,15,7,8,4,3,4,4,2,-,1,6,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 104,To which of the following religious groups do you consider yourself to be a member of?,ONLINE Fieldwork: 9th to 13th April 2020,Buddhist,14,7,7,3,3,2,1,3,2,3,2,2,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 104,To which of the following religious groups do you consider yourself to be a member of?,ONLINE Fieldwork: 9th to 13th April 2020,Other,29,13,16,8,8,7,4,2,6,2,11,7,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 104,To which of the following religious groups do you consider yourself to be a member of?,ONLINE Fieldwork: 9th to 13th April 2020,Prefer not to say,38,22,16,13,11,7,8,4,4,2,18,7,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 153,To which of the following religious groups do you consider yourself to be a member of?,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,1007,1091,261,230,362,326,369,329,451,580,582,460,476,190,87,212,173,181,164,113,190,269,272,182,65,1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 153,To which of the following religious groups do you consider yourself to be a member of?,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 153,To which of the following religious groups do you consider yourself to be a member of?,ONLINE Fieldwork: 11th to 13th September 2020,Christian,1003,469,534,72,62,122,139,172,164,335,262,292,206,242,71,43,127,83,87,62,47,91,117,152,76,48,837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 153,To which of the following religious groups do you consider yourself to be a member of?,ONLINE Fieldwork: 11th to 13th September 2020,NET: Other,134,67,67,29,20,35,24,18,12,17,40,38,17,39,3,5,20,9,22,7,4,8,36,13,7,-,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 153,To which of the following religious groups do you consider yourself to be a member of?,ONLINE Fieldwork: 11th to 13th September 2020,Muslim,52,30,22,13,9,18,13,5,2,-,16,12,8,16,1,2,10,6,16,1,-,-,7,7,2,-,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 153,To which of the following religious groups do you consider yourself to be a member of?,ONLINE Fieldwork: 11th to 13th September 2020,Hindu,21,8,12,10,7,8,2,1,-,-,10,8,1,1,-,-,2,-,1,1,-,1,14,1,2,-,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
