table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 100,What is the highest educational level that you have achieved to date?,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,2127,1021,1106,267,236,343,347,383,319,468,606,513,453,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 100,What is the highest educational level that you have achieved to date?,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,2127,1040,1087,294,258,355,329,366,306,477,578,600,432,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 100,What is the highest educational level that you have achieved to date?,ONLINE Fieldwork: 9th to 13th April 2020,No formal education,21,14,7,3,3,4,3,2,3,6,1,3,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 100,What is the highest educational level that you have achieved to date?,ONLINE Fieldwork: 9th to 13th April 2020,Primary,11,9,2,1,1,-,2,1,3,5,-,1,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 100,What is the highest educational level that you have achieved to date?,ONLINE Fieldwork: 9th to 13th April 2020,"Secondary school, high school, 6th form/ college, GCSE's, ALevels, BTEC, NVQ levels 1 to 3, etc.",1093,507,586,128,102,136,176,217,166,270,151,291,291,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 100,What is the highest educational level that you have achieved to date?,ONLINE Fieldwork: 9th to 13th April 2020,"University degree or equivalent professional qualification, NVQ level 4, etc.",674,341,333,80,80,131,114,110,90,149,255,217,100,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 100,What is the highest educational level that you have achieved to date?,ONLINE Fieldwork: 9th to 13th April 2020,"Higher university degree, doctorate, MBA, NVQ level 5, etc.",248,133,115,23,23,76,30,37,40,43,141,61,20,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 100,What is the highest educational level that you have achieved to date?,ONLINE Fieldwork: 9th to 13th April 2020,Still in full time education,58,24,34,54,44,3,1,-,-,-,21,27,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 100,What is the highest educational level that you have achieved to date?,ONLINE Fieldwork: 9th to 13th April 2020,Don't know,4,1,3,2,2,-,2,-,-,-,3,-,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 100,What is the highest educational level that you have achieved to date?,ONLINE Fieldwork: 9th to 13th April 2020,Prefer not to answer,18,11,7,2,2,5,2,-,4,5,6,-,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
