date,area_type,area_code,area_name,metric,metric_name,value
2020-06-01,region,E12000006,East of England,newCasesBySpecimenDate,New cases by specimen date,139.0
2020-06-01,region,E12000003,Yorkshire and The Humber,newCasesBySpecimenDate,New cases by specimen date,191.0
2020-06-01,region,E12000002,North West,newCasesBySpecimenDate,New cases by specimen date,266.0
2020-06-01,region,E12000005,West Midlands,newCasesBySpecimenDate,New cases by specimen date,123.0
2020-06-01,region,E12000007,London,newCasesBySpecimenDate,New cases by specimen date,50.0
2020-06-01,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,218.0
2020-06-01,region,E12000001,North East,newCasesBySpecimenDate,New cases by specimen date,69.0
2020-06-01,region,E12000008,South East,newCasesBySpecimenDate,New cases by specimen date,185.0
2020-06-01,region,E12000009,South West,newCasesBySpecimenDate,New cases by specimen date,52.0
2020-06-02,region,E12000009,South West,newCasesBySpecimenDate,New cases by specimen date,52.0
2020-06-02,region,E12000006,East of England,newCasesBySpecimenDate,New cases by specimen date,132.0
2020-06-02,region,E12000007,London,newCasesBySpecimenDate,New cases by specimen date,50.0
2020-06-02,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,220.0
2020-06-02,region,E12000003,Yorkshire and The Humber,newCasesBySpecimenDate,New cases by specimen date,196.0
2020-06-02,region,E12000008,South East,newCasesBySpecimenDate,New cases by specimen date,221.0
2020-06-02,region,E12000002,North West,newCasesBySpecimenDate,New cases by specimen date,289.0
2020-06-02,region,E12000001,North East,newCasesBySpecimenDate,New cases by specimen date,59.0
2020-06-02,region,E12000005,West Midlands,newCasesBySpecimenDate,New cases by specimen date,126.0
2020-06-03,region,E12000008,South East,newCasesBySpecimenDate,New cases by specimen date,138.0
2020-06-03,region,E12000001,North East,newCasesBySpecimenDate,New cases by specimen date,51.0
2020-06-03,region,E12000006,East of England,newCasesBySpecimenDate,New cases by specimen date,124.0
2020-06-03,region,E12000005,West Midlands,newCasesBySpecimenDate,New cases by specimen date,127.0
2020-06-03,region,E12000009,South West,newCasesBySpecimenDate,New cases by specimen date,69.0
2020-06-03,region,E12000003,Yorkshire and The Humber,newCasesBySpecimenDate,New cases by specimen date,205.0
2020-06-03,region,E12000007,London,newCasesBySpecimenDate,New cases by specimen date,78.0
2020-06-03,region,E12000002,North West,newCasesBySpecimenDate,New cases by specimen date,256.0
2020-06-03,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,172.0
2020-06-04,region,E12000008,South East,newCasesBySpecimenDate,New cases by specimen date,157.0
2020-06-04,region,E12000005,West Midlands,newCasesBySpecimenDate,New cases by specimen date,136.0
2020-06-04,region,E12000003,Yorkshire and The Humber,newCasesBySpecimenDate,New cases by specimen date,177.0
2020-06-04,region,E12000007,London,newCasesBySpecimenDate,New cases by specimen date,57.0
2020-06-04,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,145.0
2020-06-04,region,E12000001,North East,newCasesBySpecimenDate,New cases by specimen date,60.0
2020-06-04,region,E12000009,South West,newCasesBySpecimenDate,New cases by specimen date,64.0
2020-06-04,region,E12000006,East of England,newCasesBySpecimenDate,New cases by specimen date,94.0
2020-06-04,region,E12000002,North West,newCasesBySpecimenDate,New cases by specimen date,240.0
2020-06-05,region,E12000005,West Midlands,newCasesBySpecimenDate,New cases by specimen date,101.0
2020-06-05,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,154.0
2020-06-05,region,E12000002,North West,newCasesBySpecimenDate,New cases by specimen date,206.0
2020-06-05,region,E12000008,South East,newCasesBySpecimenDate,New cases by specimen date,141.0
2020-06-05,region,E12000001,North East,newCasesBySpecimenDate,New cases by specimen date,43.0
2020-06-05,region,E12000006,East of England,newCasesBySpecimenDate,New cases by specimen date,110.0
2020-06-05,region,E12000009,South West,newCasesBySpecimenDate,New cases by specimen date,51.0
2020-06-05,region,E12000003,Yorkshire and The Humber,newCasesBySpecimenDate,New cases by specimen date,151.0
2020-06-05,region,E12000007,London,newCasesBySpecimenDate,New cases by specimen date,46.0
2020-06-06,region,E12000005,West Midlands,newCasesBySpecimenDate,New cases by specimen date,78.0
2020-06-06,region,E12000007,London,newCasesBySpecimenDate,New cases by specimen date,46.0
2020-06-06,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,104.0
2020-06-06,region,E12000006,East of England,newCasesBySpecimenDate,New cases by specimen date,93.0
2020-06-06,region,E12000003,Yorkshire and The Humber,newCasesBySpecimenDate,New cases by specimen date,121.0
2020-06-06,region,E12000009,South West,newCasesBySpecimenDate,New cases by specimen date,24.0
2020-06-06,region,E12000002,North West,newCasesBySpecimenDate,New cases by specimen date,131.0
2020-06-06,region,E12000008,South East,newCasesBySpecimenDate,New cases by specimen date,85.0
2020-06-06,region,E12000001,North East,newCasesBySpecimenDate,New cases by specimen date,28.0
2020-06-07,region,E12000001,North East,newCasesBySpecimenDate,New cases by specimen date,17.0
2020-06-07,region,E12000009,South West,newCasesBySpecimenDate,New cases by specimen date,18.0
2020-06-07,region,E12000003,Yorkshire and The Humber,newCasesBySpecimenDate,New cases by specimen date,149.0
2020-06-07,region,E12000008,South East,newCasesBySpecimenDate,New cases by specimen date,62.0
2020-06-07,region,E12000005,West Midlands,newCasesBySpecimenDate,New cases by specimen date,65.0
2020-06-07,region,E12000004,East Midlands,newCasesBySpecimenDate,New cases by specimen date,128.0
2020-06-07,region,E12000002,North West,newCasesBySpecimenDate,New cases by specimen date,130.0
2020-06-07,region,E12000006,East of England,newCasesBySpecimenDate,New cases by specimen date,46.0
2020-06-07,region,E12000007,London,newCasesBySpecimenDate,New cases by specimen date,45.0
2020-06-08,region,E12000008,South East,newCasesBySpecimenDate,New cases by specimen date,122.0
2020-06-08,region,E12000007,London,newCasesBySpecimenDate,New cases by specimen date,55.0
