start_date,end_date,question,response,total,male,female,16-24,18-24,25-34,35-44,45-54,55-64,65+,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade,scotland,north_east,north_west,yorkshire_&_humberside,west_midlands,east_midlands,wales,eastern,london,south_east,south_west,northern_ireland,net:_england
2020-08-07,2020-08-09,how_claims_about_masks_offering_no_protection_or_being_harmful_have_been_reported,Unweighted base,622,288,334,78,67,87,110,100,96,151,185,163,129,145,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-08-07,2020-08-09,how_claims_about_masks_offering_no_protection_or_being_harmful_have_been_reported,Weighted base,624,293,331,92,78,92,104,91,96,149,183,167,129,145,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-08-07,2020-08-09,how_claims_about_masks_offering_no_protection_or_being_harmful_have_been_reported,Reported / described as a true claim,243,108,136,34,29,40,38,43,33,55,69,67,52,55,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-08-07,2020-08-09,how_claims_about_masks_offering_no_protection_or_being_harmful_have_been_reported,Reported / described as a false claim,197,97,99,40,31,29,29,23,29,47,67,47,35,48,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-08-07,2020-08-09,how_claims_about_masks_offering_no_protection_or_being_harmful_have_been_reported,Unclear whether true or false,311,144,167,37,34,39,58,46,48,85,87,90,63,72,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-09-11,2020-09-13,how_claims_about_masks_offering_no_protection_or_being_harmful_have_been_reported,Unweighted base,589,280,309,75,69,106,101,98,93,116,154,167,136,132,68,26,77,51,44,44,35,44,63,68,47,22,464.0
2020-09-11,2020-09-13,how_claims_about_masks_offering_no_protection_or_being_harmful_have_been_reported,Weighted base,580,283,298,82,74,108,99,91,86,116,145,169,131,135,62,25,80,53,47,39,27,44,64,73,46,19,472.0
2020-09-11,2020-09-13,how_claims_about_masks_offering_no_protection_or_being_harmful_have_been_reported,Reported / described as a true claim,254,124,130,30,29,49,46,41,41,47,62,74,66,52,30,10,37,20,22,15,15,20,32,27,19,8,202.0
2020-09-11,2020-09-13,how_claims_about_masks_offering_no_protection_or_being_harmful_have_been_reported,Reported / described as a false claim,163,95,68,31,27,23,21,25,32,31,44,45,39,35,23,8,21,9,15,12,9,8,23,19,14,3,128.0
2020-09-11,2020-09-13,how_claims_about_masks_offering_no_protection_or_being_harmful_have_been_reported,Unclear whether true or false,263,116,147,36,32,49,43,36,36,63,64,78,54,68,21,15,35,27,18,17,12,23,20,42,22,11,219.0
