start_date,end_date,question,response,total,male,female,16-24,18-24,25-34,35-44,45-54,55-64,65+,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade,scotland,north_east,north_west,yorkshire_&_humberside,west_midlands,east_midlands,wales,eastern,london,south_east,south_west,northern_ireland,net:_england
2020-12-04,2020-12-06,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,Direct from World Health Organisation (WHO) website/ email/ text/ post,1,1,,,,1,0,0,0,0,0,1,0,,0,0,0,,0,1,0,0,0,0,0,0,1
2020-12-04,2020-12-06,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,Direct from UK Government website/ email/ text/ post,4,0,4,3,3,0,0,0,0,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,4
2020-12-04,2020-12-06,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,WhatsApp group(s),4,3,1,1,1,1,1,2,1,0,2,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,3
2020-12-04,2020-12-06,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,Sky,4,2,2,0,0,0,2,0,0,2,1,1,0,2,1,0,1,0,0,0,0,0,1,1,0,0,3
2020-12-04,2020-12-06,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,BBC - Radio,3,2,1,0,0,2,0,1,0,1,1,0,2,0,2,0,0,1,,0,0,0,0,0,0,0,1
2020-12-04,2020-12-06,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,"Websites/apps of online news organisations like Buzzfeed, Huffington Post, Vice, etc.",3,2,2,0,0,1,0,1,2,0,0,2,1,1,0,0,1,0,0,0,0,1,1,0,1,0,3
2020-12-04,2020-12-06,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,Weighted base,217,95,123,27,26,38,42,39,20,52,53,57,45,62,20,11,25,15,21,15,3,19,30,28,20,10,184
2020-12-04,2020-12-06,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,“Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),5,3,2,2,2,0,0,0,0,4,2,1,1,2,1,0,0,0,1,0,0,0,2,2,0,0,4
2020-12-04,2020-12-06,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,ITV,3,0,3,0,0,0,1,0,0,2,2,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2
2020-12-04,2020-12-06,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,Email,2,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
2020-12-04,2020-12-06,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,Snapchat,2,2,0,2,2,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2
2020-12-04,2020-12-06,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,"Smart speaker (e.g. Amazon Echo, Google Home)",2,1,1,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
2020-12-04,2020-12-06,source_of_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_as_true,Channel 5,2,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2
