start_date,end_date,question,response,i_think_that_untrue_stories_or_items_about_coronavirus_should_not_be_posted_or_shared_on_social_media,"i_think_that_people_and_organisations_have_a_right_to_say_what_they_want_on_social_media__about_coronavirus,_even_if_it_might_not_be_true","i_think_it's_ok_for_untrue_stories_about_coronavirus_to_be_posted_and_shared_on_social_media_,_as_long_as_they_are_flagged_as_potentially_untrustworthy/_untrue_by_the_social_media_platform"
2020-06-19,2020-06-21,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Standard deviation Standard error,1.03,1.2,1.24
2020-06-19,2020-06-21,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Mean,1.4,-0.82,-0.94
2020-06-19,2020-06-21,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,NET: Disagree,139.0,1400.0,1488.0
2020-06-19,2020-06-21,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Strongly disagree   (-2),84.0,829.0,1036.0
2020-06-19,2020-06-21,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Slightly disagree   (-1),56.0,570.0,453.0
2020-06-19,2020-06-21,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Unweighted base,2164.0,2164.0,2164.0
2020-06-19,2020-06-21,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Slightly agree      (+1),370.0,257.0,294.0
2020-06-19,2020-06-21,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Strongly agree      (+2),1445.0,103.0,94.0
2020-06-19,2020-06-21,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,NET: Agree,1815.0,359.0,388.0
2020-06-19,2020-06-21,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Weighted base,2164.0,2164.0,2164.0
2020-06-19,2020-06-21,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Neither agree nor    (0) disagree,209.0,405.0,288.0
2020-08-07,2020-08-09,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Standard deviation Standard error,1.05,1.26,1.25
2020-08-07,2020-08-09,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Unweighted base,2120.0,2120.0,2120.0
2020-08-07,2020-08-09,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Weighted base,2120.0,2120.0,2120.0
2020-08-07,2020-08-09,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,NET: Agree,1729.0,404.0,369.0
2020-08-07,2020-08-09,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Strongly agree      (+2),1362.0,119.0,95.0
2020-08-07,2020-08-09,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Slightly agree      (+1),366.0,285.0,275.0
2020-08-07,2020-08-09,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Neither agree nor    (0) disagree,245.0,433.0,323.0
2020-08-07,2020-08-09,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Slightly disagree   (-1),63.0,453.0,396.0
2020-08-07,2020-08-09,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Strongly disagree   (-2),83.0,830.0,1032.0
2020-08-07,2020-08-09,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,NET: Disagree,146.0,1283.0,1428.0
2020-08-07,2020-08-09,to_what_extent_do_you_agree_or_disagree_with_the_following_statements?_summary,Mean,1.35,-0.75,-0.94
