start_date,end_date,question,response,total,male,female,16-24,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade,scotland,north_east,north_west,yorkshire_&_humberside,west_midlands,east_midlands,wales,eastern,london,south_east,south_west,northern_ireland,net:_england
2020-03-27,2020-03-29,trust_in_the_sources_for_information/news_about_coronavirus_used_in_last_week:_stv,Unweighted base,62,29,33,0,17,17,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,trust_in_the_sources_for_information/news_about_coronavirus_used_in_last_week:_stv,NET: Trust,59,24,35,0,10,15,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,trust_in_the_sources_for_information/news_about_coronavirus_used_in_last_week:_stv,5 - Trust completely,28,9,19,0,2,9,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,trust_in_the_sources_for_information/news_about_coronavirus_used_in_last_week:_stv,4,31,16,16,0,8,6,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,trust_in_the_sources_for_information/news_about_coronavirus_used_in_last_week:_stv,3,11,7,4,0,3,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,trust_in_the_sources_for_information/news_about_coronavirus_used_in_last_week:_stv,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,trust_in_the_sources_for_information/news_about_coronavirus_used_in_last_week:_stv,1 - Do not trust at all,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,trust_in_the_sources_for_information/news_about_coronavirus_used_in_last_week:_stv,NET: Do not trust,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,trust_in_the_sources_for_information/news_about_coronavirus_used_in_last_week:_stv,Mean,4.21,4,4.38,0,3.91,4.28,4.59,4.16,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,trust_in_the_sources_for_information/news_about_coronavirus_used_in_last_week:_stv,Standard deviation Standard error,0.75,0.79,0.68,0,0.6,0.79,0.52,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020-03-29,trust_in_the_sources_for_information/news_about_coronavirus_used_in_last_week:_stv,Weighted base,71,32,39,0,13,18,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-03,2020-04-05,trust_in_the_sources_for_information/news_about_coronavirus_used_in_last_week:_stv,Unweighted base,75,35,40,5,16,25,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-03,2020-04-05,trust_in_the_sources_for_information/news_about_coronavirus_used_in_last_week:_stv,Mean,3.99,3.93,4.05,4.39,3.65,4.04,4.16,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-03,2020-04-05,trust_in_the_sources_for_information/news_about_coronavirus_used_in_last_week:_stv,NET: Do not trust,5,3,1,0,3,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-03,2020-04-05,trust_in_the_sources_for_information/news_about_coronavirus_used_in_last_week:_stv,1 - Do not trust at all,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-03,2020-04-05,trust_in_the_sources_for_information/news_about_coronavirus_used_in_last_week:_stv,2,3,2,1,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-03,2020-04-05,trust_in_the_sources_for_information/news_about_coronavirus_used_in_last_week:_stv,3,12,5,7,0,1,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-03,2020-04-05,trust_in_the_sources_for_information/news_about_coronavirus_used_in_last_week:_stv,4,32,13,19,3,11,9,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0
