date,East Midlands,East of England,London,North East,North West,South East,South West,West Midlands,Yorkshire and The Humber
2020-01-30,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-06,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2020-03-09,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0
2020-03-10,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2020-03-11,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0
2020-03-12,1.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0
2020-03-13,1.0,2.0,6.0,0.0,3.0,2.0,0.0,2.0,0.0
2020-03-14,0.0,0.0,10.0,0.0,3.0,3.0,1.0,2.0,0.0
2020-03-15,0.0,1.0,8.0,1.0,4.0,7.0,1.0,4.0,2.0
2020-03-16,4.0,2.0,15.0,0.0,2.0,9.0,2.0,8.0,2.0
2020-03-17,1.0,2.0,26.0,0.0,6.0,7.0,2.0,8.0,2.0
2020-03-18,4.0,1.0,28.0,0.0,6.0,13.0,3.0,9.0,2.0
2020-03-19,3.0,6.0,31.0,0.0,9.0,9.0,4.0,8.0,1.0
2020-03-20,6.0,2.0,50.0,3.0,8.0,16.0,3.0,19.0,2.0
2020-03-21,4.0,8.0,56.0,3.0,13.0,15.0,8.0,17.0,2.0
2020-03-22,12.0,12.0,63.0,6.0,17.0,31.0,6.0,23.0,2.0
2020-03-23,10.0,12.0,69.0,4.0,20.0,27.0,11.0,29.0,6.0
2020-03-24,17.0,23.0,98.0,2.0,22.0,31.0,7.0,30.0,7.0
2020-03-25,12.0,22.0,135.0,6.0,22.0,39.0,10.0,45.0,8.0
2020-03-26,18.0,36.0,146.0,8.0,34.0,48.0,9.0,55.0,16.0
2020-03-27,24.0,37.0,155.0,13.0,43.0,53.0,12.0,59.0,20.0
2020-03-28,29.0,41.0,148.0,11.0,43.0,47.0,29.0,76.0,25.0
2020-03-29,27.0,56.0,175.0,9.0,62.0,65.0,28.0,77.0,32.0
2020-03-30,27.0,56.0,196.0,36.0,80.0,85.0,32.0,87.0,32.0
2020-03-31,44.0,79.0,239.0,30.0,81.0,86.0,25.0,115.0,42.0
2020-04-01,50.0,84.0,237.0,36.0,117.0,97.0,32.0,131.0,42.0
2020-04-02,56.0,77.0,255.0,41.0,134.0,103.0,34.0,137.0,55.0
2020-04-03,62.0,91.0,267.0,56.0,132.0,106.0,46.0,102.0,65.0
2020-04-04,74.0,83.0,287.0,47.0,124.0,145.0,60.0,127.0,76.0
2020-04-05,81.0,106.0,273.0,51.0,156.0,136.0,56.0,136.0,68.0
2020-04-06,82.0,87.0,273.0,58.0,141.0,140.0,57.0,115.0,72.0
2020-04-07,62.0,129.0,295.0,55.0,192.0,154.0,63.0,112.0,83.0
2020-04-08,81.0,136.0,327.0,59.0,177.0,162.0,80.0,162.0,102.0
2020-04-09,89.0,115.0,275.0,63.0,166.0,194.0,46.0,129.0,100.0
2020-04-10,78.0,97.0,241.0,79.0,167.0,174.0,91.0,133.0,103.0
2020-04-11,86.0,126.0,249.0,73.0,200.0,171.0,75.0,146.0,77.0
2020-04-12,92.0,144.0,237.0,63.0,206.0,165.0,71.0,138.0,92.0
2020-04-13,74.0,109.0,228.0,51.0,188.0,159.0,61.0,119.0,87.0
2020-04-14,88.0,97.0,212.0,67.0,195.0,150.0,61.0,117.0,93.0
2020-04-15,81.0,114.0,203.0,46.0,190.0,158.0,66.0,133.0,109.0
2020-04-16,64.0,118.0,202.0,47.0,214.0,177.0,73.0,131.0,121.0
2020-04-17,87.0,133.0,170.0,59.0,161.0,158.0,82.0,141.0,116.0
2020-04-18,73.0,102.0,167.0,69.0,200.0,138.0,63.0,123.0,95.0
2020-04-19,80.0,96.0,156.0,58.0,130.0,165.0,74.0,107.0,101.0
2020-04-20,81.0,102.0,145.0,52.0,158.0,182.0,65.0,106.0,101.0
