v4_0,calendar-years,Time,administrative-geography,Geography
18,2018,2018,E09000014,Haringey
27,2015,2015,E09000014,Haringey
31,2014,2014,E09000014,Haringey
13,2021,2021,E09000014,Haringey
22,2010,2010,E09000014,Haringey
15,2013,2013,E09000014,Haringey
22,2019,2019,E09000014,Haringey
15,2020,2020,E09000014,Haringey
25,2017,2017,E09000014,Haringey
21,2011,2011,E09000014,Haringey
13,2022,2022,E09000014,Haringey
12,2016,2016,E09000014,Haringey
28,2012,2012,E09000014,Haringey
252,2012,2012,E13000001,Inner London
214,2022,2022,E13000001,Inner London
248,2019,2019,E13000001,Inner London
252,2014,2014,E13000001,Inner London
246,2020,2020,E13000001,Inner London
225,2016,2016,E13000001,Inner London
295,2015,2015,E13000001,Inner London
239,2013,2013,E13000001,Inner London
258,2017,2017,E13000001,Inner London
245,2011,2011,E13000001,Inner London
232,2010,2010,E13000001,Inner London
224,2021,2021,E13000001,Inner London
258,2018,2018,E13000001,Inner London
21,2022,2022,E09000019,Islington
13,2020,2020,E09000019,Islington
14,2021,2021,E09000019,Islington
18,2015,2015,E09000019,Islington
16,2014,2014,E09000019,Islington
18,2018,2018,E09000019,Islington
28,2010,2010,E09000019,Islington
22,2017,2017,E09000019,Islington
13,2016,2016,E09000019,Islington
13,2011,2011,E09000019,Islington
14,2019,2019,E09000019,Islington
27,2013,2013,E09000019,Islington
12,2012,2012,E09000019,Islington
4912,2020,2020,E92000001,England
4202,2010,2010,E92000001,England
4518,2011,2011,E92000001,England
5219,2021,2021,E92000001,England
5316,2019,2019,E92000001,England
4820,2015,2015,E92000001,England
4727,2013,2013,E92000001,England
5284,2022,2022,E92000001,England
5021,2018,2018,E92000001,England
4451,2017,2017,E92000001,England
4575,2016,2016,E92000001,England
4882,2014,2014,E92000001,England
4513,2012,2012,E92000001,England
